code,name,date,close,score,grade,phase,ready,breakout,leg_pct,retrace_pct,l1,h1,l2,ma_bullish,rsi,vol_ratio,buy_signal,stop_loss,tp1,tp2
600150,中国船舶,2026-06-12,34.89,70,A,LEG1,True,False,147.3,51.9,17.56,43.42,30.0,True,41.5,0.88,False,30.0,70.26,90.39
600160,巨化股份,2026-06-12,42.39,95,S,LEG1,True,False,223.5,38.3,13.46,43.54,32.01,True,70.2,2.64,False,32.01,66.6,83.9
600161,天坛生物,2026-06-12,12.87,55,B,LEG1,True,False,12.0,-56.1,15.69,17.58,18.64,False,18.1,1.64,False,18.64,15.46,13.87
600176,中国巨石,2026-06-12,41.61,95,S,LEG1,True,True,110.0,73.5,8.2,17.22,10.59,True,68.4,1.56,True,10.59,30.48,40.42
600183,生益科技,2026-06-12,151.28,85,S,BREAKOUT,True,True,654.5,37.8,9.94,75.0,50.4,True,91.3,1.52,False,50.4,124.2,161.1
600188,兖矿能源,2026-06-12,22.95,80,S,BREAKOUT,True,True,142.5,34.5,9.42,22.84,18.21,True,60.5,0.9,False,18.21,32.1,39.05
600196,复星医药,2026-06-12,22.36,40,C,LEG1,True,False,38.2,63.4,19.79,27.35,22.56,False,21.4,0.89,False,22.56,36.93,44.12
600219,南山铝业,2026-06-12,4.73,40,C,LEG1,True,False,321.8,89.1,1.97,8.31,2.66,False,30.8,0.69,False,2.66,19.61,28.09
600309,万华化学,2026-06-12,71.67,52,B,READY,True,False,88.3,52.7,50.85,95.75,72.11,False,29.7,1.02,False,72.11,143.03,178.49
600346,恒力石化,2026-06-12,17.46,40,C,LEG1,True,False,154.8,35.1,9.74,24.82,19.52,False,28.6,0.92,False,19.52,35.42,43.37
600362,江西铜业,2026-06-12,43.05,52,B,READY,True,False,309.1,53.4,17.28,70.7,42.2,False,39.0,1.16,False,42.2,127.7,170.45
600372,中航机载,2026-06-12,11.14,40,C,READY,True,False,77.2,60.7,9.55,16.92,12.45,False,27.6,0.59,False,12.45,25.86,32.57
600377,宁沪高速,2026-06-12,12.54,82,S,BREAKOUT,True,False,121.1,15.8,5.68,12.56,11.47,False,57.6,1.5,False,11.47,14.74,16.38
600406,国电南瑞,2026-06-12,23.24,45,C,READY,True,False,76.0,47.8,18.22,32.06,25.45,False,26.3,0.6,False,25.45,45.28,55.2
600415,小商品城,2026-06-12,11.3,40,C,READY,True,False,204.2,54.5,6.25,19.01,12.05,False,24.6,0.91,False,12.05,32.93,43.37
600426,华鲁恒升,2026-06-12,28.33,47,C,LEG1,True,False,109.2,27.7,18.98,39.7,33.96,False,31.2,1.16,False,33.96,51.18,59.79
600460,士兰微,2026-06-12,32.15,87,S,READY,True,False,122.8,53.3,15.7,34.98,24.7,True,58.7,1.28,False,24.7,55.54,70.96
600489,中金黄金,2026-06-12,21.51,40,C,READY,True,False,587.9,50.3,6.03,41.48,23.65,False,31.0,0.99,False,23.65,77.14,103.88
600515,海南机场,2026-06-12,2.98,47,C,LEG1,True,False,94.6,47.1,2.96,5.76,4.44,False,18.6,1.07,False,4.44,8.4,10.38
600519,贵州茅台,2026-06-12,1291.91,40,C,LEG1,True,False,35.2,60.3,1159.76,1568.0,1322.01,False,36.3,0.79,False,1322.01,2059.98,2428.97
600522,中天科技,2026-06-12,48.6,85,S,BREAKOUT,True,True,104.3,47.0,9.9,20.23,15.38,True,83.9,1.85,False,15.38,29.93,37.2
600547,山东黄金,2026-06-12,27.79,47,C,LEG1,True,False,310.5,64.5,15.97,65.55,33.55,False,22.3,1.03,False,33.55,129.55,177.55
600570,恒生电子,2026-06-12,21.71,40,C,READY,True,False,141.0,55.2,14.93,35.98,24.36,False,20.0,0.96,False,24.36,59.22,76.65
600584,长电科技,2026-06-12,68.92,95,S,BREAKOUT,True,True,177.3,47.6,19.7,54.63,38.02,True,64.4,1.34,True,38.02,87.85,112.77
600585,海螺水泥,2026-06-12,18.71,40,C,LEG1,True,False,44.9,62.3,18.58,26.93,21.73,False,17.5,0.83,False,21.73,37.33,45.13
600588,用友网络,2026-06-12,10.0,40,C,LEG1,True,False,60.4,13.2,8.03,12.88,12.24,False,27.3,0.95,False,12.24,14.16,15.12
600600,青岛啤酒,2026-06-12,60.56,65,A,LEG1,True,False,26.6,32.2,51.0,64.56,60.2,False,40.6,1.38,False,60.2,73.28,79.82
600660,福耀玻璃,2026-06-12,52.35,40,C,LEG1,True,False,56.3,29.4,38.32,59.9,53.55,False,27.9,0.64,False,53.55,72.6,82.12
600674,川投能源,2026-06-12,15.6,74,A,READY,True,False,68.5,31.7,9.71,16.36,14.25,False,61.9,1.22,False,14.25,20.58,23.74
600690,海尔智家,2026-06-12,21.13,57,B,LEG1,True,False,48.4,41.8,17.85,26.49,22.88,False,41.5,1.2,False,22.88,33.71,39.12
600741,华域汽车,2026-06-12,16.65,40,C,LEG1,True,False,67.8,40.6,12.37,20.76,17.35,False,25.8,0.95,False,17.35,27.58,32.7
600795,国电电力,2026-06-12,5.01,80,S,READY,True,False,36.8,40.8,3.86,5.28,4.7,True,53.4,0.85,False,4.7,6.44,7.31
600803,新奥股份,2026-06-12,18.33,40,C,LEG1,True,False,61.0,59.0,15.25,24.55,19.06,False,27.8,0.75,False,19.06,35.53,43.77
600875,东方电气,2026-06-12,30.3,60,B,LEG1,True,False,281.5,80.7,11.86,45.25,18.29,True,32.4,0.74,False,18.29,99.17,139.61
600887,伊利股份,2026-06-12,25.71,62,B,READY,True,False,54.3,43.4,18.53,28.6,24.23,False,48.8,1.04,False,24.23,37.34,43.9
600893,航发动力,2026-06-12,38.82,40,C,LEG1,True,False,127.5,77.1,28.03,63.78,36.2,False,30.0,0.81,False,36.2,118.94,160.31
600900,长江电力,2026-06-12,28.28,74,A,BREAKOUT,True,True,60.8,23.7,17.19,27.65,25.17,False,68.8,1.05,False,25.17,32.61,36.33
600905,三峡能源,2026-06-12,4.18,67,A,LEG1,True,False,18.5,63.0,3.94,4.67,4.21,False,52.0,1.13,False,4.21,5.59,6.28
600918,中泰证券,2026-06-12,5.34,55,B,READY,True,False,41.2,42.9,5.27,7.44,6.51,False,17.7,1.92,False,6.51,9.3,10.7
600919,江苏银行,2026-06-12,11.89,77,A,BREAKOUT,True,True,116.9,23.8,5.04,10.93,9.53,True,85.4,1.23,False,9.53,13.73,15.83
600926,杭州银行,2026-06-12,16.74,85,S,LEG1,True,False,119.9,71.9,8.0,17.59,10.69,True,56.0,1.49,False,10.69,31.39,41.74
600938,中国海油,2026-06-12,33.36,60,B,LEG1,True,False,362.0,65.0,9.64,44.54,21.84,True,35.1,0.85,False,21.84,89.94,123.99
600941,中国移动,2026-06-12,95.12,60,B,LEG1,True,False,142.1,36.8,39.93,96.68,75.79,False,51.1,0.85,False,75.79,138.46,169.8
600958,东方证券,2026-06-12,9.24,50,B,READY,True,False,65.9,57.1,6.9,11.45,8.85,False,40.9,0.76,False,8.85,16.65,20.55
600989,宝丰能源,2026-06-12,23.1,60,B,LEG1,True,False,215.0,77.5,11.45,36.07,17.0,True,36.1,0.73,False,17.0,74.21,102.81
600999,招商证券,2026-06-12,17.69,87,S,READY,True,False,60.9,43.1,11.09,17.84,14.93,False,70.9,1.45,False,14.93,23.66,28.02
601009,南京银行,2026-06-12,11.83,82,S,LEG1,True,False,111.9,42.8,5.64,11.95,9.25,True,65.2,1.14,False,9.25,17.35,21.4
601012,隆基绿能,2026-06-12,13.46,47,C,LEG1,True,False,59.0,39.7,12.61,20.05,17.1,False,21.0,1.12,False,17.1,25.95,30.38
601018,宁波港,2026-06-12,3.38,40,C,LEG1,True,False,44.4,55.7,2.95,4.26,3.53,False,21.1,0.96,False,3.53,5.72,6.81
601058,赛轮轮胎,2026-06-12,12.41,47,C,LEG1,True,False,111.4,27.3,6.87,14.52,12.43,False,25.2,1.2,False,12.43,18.7,21.84
601059,信达证券,2026-06-12,15.14,40,C,READY,True,False,76.2,51.6,11.8,20.79,16.15,False,22.7,0.97,False,16.15,30.07,37.03
601066,中信建投,2026-06-12,25.46,75,A,READY,True,False,61.0,63.2,17.07,27.48,20.9,False,71.8,2.29,False,20.9,40.64,50.51
601088,中国神华,2026-06-12,46.14,90,S,LEG1,True,False,59.7,57.6,31.54,50.38,39.52,True,50.4,1.36,False,39.52,72.1,88.39
601100,恒立液压,2026-06-12,114.54,87,S,READY,True,False,215.3,42.9,39.96,125.98,89.1,True,56.3,1.29,False,89.1,199.74,255.06
601111,中国国航,2026-06-12,6.27,47,C,LEG1,True,False,19.6,17.4,6.17,7.38,7.17,False,30.4,1.13,False,7.17,7.8,8.12
601117,中国化学,2026-06-12,7.51,40,C,LEG1,True,False,100.8,62.9,5.22,10.48,7.17,False,31.4,0.64,False,7.17,17.1,22.07
601127,赛力斯,2026-06-12,68.67,47,C,READY,True,False,155.9,52.8,67.83,173.55,117.71,False,12.1,1.28,False,117.71,285.23,368.99
601136,首创证券,2026-06-12,14.08,55,B,LEG1,True,False,103.7,49.8,12.13,24.71,18.45,False,19.5,1.4,False,18.45,37.23,46.62
601138,工业富联,2026-06-12,70.13,80,S,READY,True,False,1365.8,46.5,5.7,83.55,47.35,True,64.7,0.92,False,47.35,155.95,210.25
601166,兴业银行,2026-06-12,18.61,67,A,BREAKOUT,True,True,76.0,16.3,10.56,18.59,17.28,False,65.5,1.23,False,17.28,21.21,23.17
601169,北京银行,2026-06-12,5.27,57,B,LEG1,True,False,22.8,33.0,4.52,5.55,5.21,False,48.2,1.0,False,5.21,6.23,6.74
601211,国泰海通,2026-06-12,17.68,70,A,LEG1,True,False,92.0,38.2,11.64,22.35,18.26,False,61.2,1.6,False,18.26,30.53,36.66
601225,陕西煤业,2026-06-12,27.0,87,S,LEG1,True,False,138.4,45.0,11.72,27.94,20.64,True,64.9,1.25,False,20.64,42.54,53.49
601229,上海银行,2026-06-12,9.36,57,B,LEG1,True,False,178.7,28.8,3.67,10.23,8.34,False,53.9,1.08,False,8.34,14.01,16.85
601236,红塔证券,2026-06-12,6.8,55,B,READY,True,False,68.7,57.1,5.63,9.5,7.29,False,20.0,1.3,False,7.29,13.92,17.23
601238,广汽集团,2026-06-12,5.88,47,C,LEG1,True,False,36.3,83.9,7.02,9.57,7.43,False,12.8,1.18,False,7.43,13.85,17.06
601288,农业银行,2026-06-12,6.8,65,A,LEG1,True,False,306.8,17.8,1.76,7.16,6.2,False,56.6,1.3,False,6.2,9.08,10.52
601298,青岛港,2026-06-12,9.24,87,S,READY,True,False,33.7,59.4,7.45,9.96,8.47,True,60.5,1.29,False,8.47,12.94,15.18
601318,中国平安,2026-06-12,54.01,50,B,LEG1,True,False,121.8,16.2,26.76,59.36,54.09,False,41.9,1.0,False,54.09,69.9,77.8
601336,新华保险,2026-06-12,61.46,65,A,READY,True,False,385.9,39.5,17.67,85.85,58.95,False,45.6,1.5,False,58.95,139.65,180.0
601360,三六零,2026-06-12,9.16,40,C,LEG1,True,False,107.3,30.1,5.79,12.0,10.13,False,25.9,0.57,False,10.13,15.74,18.54
601377,兴业证券,2026-06-12,6.0,50,B,LEG1,True,False,36.8,4.8,4.54,6.21,6.13,False,46.5,0.99,False,6.13,6.37,6.49
601390,中国中铁,2026-06-12,4.57,40,C,LEG1,True,False,38.0,67.4,4.69,6.47,5.27,False,22.1,0.52,False,5.27,8.87,10.67
601398,工商银行,2026-06-12,7.78,95,S,LEG1,True,True,171.2,56.9,2.78,7.54,4.83,True,73.8,1.49,True,4.83,12.96,17.02
