代码,周期,最新日期,收盘价,评分,等级,L1,H1,L2,首波涨幅%,回调幅度%,阶段,突破前高,均线多头,RSI,量比,止损价
301603,日线,2026-06-17,146.5,75,A,33.53,150.0,62.31,347.4,75.3,LEG1,否,是,67.1,0.78,61.06
301577,日线,2026-06-17,94.92,75,A,39.1,109.46,59.68,179.9,70.8,LEG1,否,是,60.5,0.67,58.49
600478,日线,2026-06-17,5.83,75,A,2.86,8.03,3.77,180.8,82.4,LEG1,否,否,49.8,1.54,3.69
600470,日线,2026-06-17,5.55,75,A,3.41,7.26,5.09,112.9,56.4,READY,否,否,45.6,1.35,4.99
688368,日线,2026-06-17,205.1,75,A,47.5,249.75,145.03,425.8,51.8,READY,否,是,55.5,0.77,142.13
399020,日线,2026-06-17,2035.97,75,A,804.74,2140.87,1135.88,166.0,75.2,LEG1,否,否,65.3,1.32,1113.16
603355,日线,2026-06-17,28.81,75,A,16.21,35.66,23.3,120.0,63.5,READY,否,否,66.2,1.36,22.83
600584,日线,2026-06-17,81.76,75,A,19.95,94.9,38.02,375.7,75.9,LEG1,否,是,64.8,0.92,37.26
601138,日线,2026-06-17,72.64,75,A,12.63,84.95,54.6,572.6,42.0,LEG1,否,是,50.6,0.68,53.51
601117,日线,2026-06-17,8.22,75,A,5.68,8.7,7.15,53.2,51.3,READY,否,否,71.0,2.14,7.01
300835,日线,2026-06-17,193.2,75,A,19.41,218.0,69.89,1023.1,74.6,LEG1,否,是,54.6,0.72,68.49
300828,日线,2026-06-17,19.85,75,A,7.16,28.2,18.6,293.9,45.6,READY,否,否,53.4,1.74,18.23
688079,日线,2026-06-17,31.94,75,A,5.66,33.85,11.67,498.1,78.7,LEG1,否,是,69.8,0.38,11.44
000700,日线,2026-06-17,15.96,75,A,4.1,18.66,10.53,355.1,55.8,LEG1,否,是,55.1,0.67,10.32
601100,日线,2026-06-17,118.0,75,A,41.55,118.85,89.1,186.0,38.5,LEG1,否,是,55.1,0.63,87.32
000506,日线,2026-06-17,15.46,75,A,0.89,15.79,15.14,1674.2,4.4,LEG1,否,否,67.1,1.55,14.84
688125,日线,2026-06-17,201.53,75,A,24.1,234.8,152.62,874.3,39.0,READY,否,否,67.6,1.7,149.57
601179,日线,2026-06-17,15.79,75,A,4.45,17.27,14.82,288.1,19.1,LEG1,否,否,56.5,2.15,14.52
300810,日线,2026-06-17,26.52,75,A,11.31,34.32,30.4,203.4,17.0,LEG1,否,否,47.6,1.5,29.79
300790,日线,2026-06-17,29.08,75,A,7.86,38.2,20.18,386.0,59.4,READY,否,否,65.2,2.69,19.78
000766,日线,2026-06-17,24.51,75,A,12.12,25.8,22.3,112.9,25.6,LEG1,否,是,48.3,0.96,21.85
688052,日线,2026-06-17,264.8,75,A,78.09,272.5,166.6,249.0,54.5,LEG1,否,是,69.0,0.65,163.27
300857,日线,2026-06-17,266.99,75,A,32.02,308.0,209.0,861.9,35.9,READY,否,否,69.7,1.64,204.82
002907,日线,2026-06-17,12.09,75,A,9.82,15.1,12.0,53.8,58.7,READY,否,否,47.4,2.09,11.76
603505,日线,2026-06-17,19.92,75,A,15.43,22.88,16.89,48.3,80.4,LEG1,否,是,63.2,0.9,16.55
002789,日线,2026-06-17,14.16,75,A,5.92,14.47,11.87,144.4,30.4,LEG1,否,是,63.5,0.15,11.63
002774,日线,2026-06-17,12.34,75,A,4.57,12.37,10.86,170.7,19.4,LEG1,否,否,64.1,2.53,10.64
002765,日线,2026-06-17,8.11,75,A,3.39,10.46,10.96,208.6,-7.1,LEG1,否,否,46.3,1.53,10.74
688343,日线,2026-06-17,74.0,75,A,19.87,99.0,73.78,398.2,31.9,LEG1,否,否,67.4,1.46,72.3
688508,日线,2026-06-17,92.22,75,A,26.32,105.38,77.01,300.4,35.9,READY,否,是,56.4,0.89,75.47
600707,日线,2026-06-17,12.66,75,A,5.05,12.62,9.43,149.9,42.1,BREAKOUT,是,是,66.3,0.89,9.24
600023,日线,2026-06-17,6.04,75,A,4.77,6.73,5.81,41.1,46.9,READY,否,是,44.0,0.6,5.69
300765,日线,2026-06-17,24.59,75,A,21.07,33.55,29.5,59.2,32.5,LEG1,否,否,45.5,1.72,28.91
300756,日线,2026-06-17,33.59,75,A,8.54,50.88,14.33,495.8,86.3,LEG1,否,否,46.1,1.95,14.04
000793,日线,2026-06-17,2.63,75,A,0.7,3.02,2.0,331.4,44.0,LEG1,否,否,53.4,1.9,1.96
600528,日线,2026-06-17,7.17,75,A,6.45,8.0,7.69,24.0,20.0,LEG1,否,否,46.6,1.38,7.54
