symbol,name,30m_pnl,30m_pf,30m_wr,30m_dd,30m_trades,60m_pnl,60m_pf,60m_wr,60m_dd,60m_trades,日线_pnl,日线_pf,日线_wr,日线_dd,日线_trades,win_count
LC0,碳酸锂,409040.08776116295,1.4411878104728666,0.45045045045045046,0.0330412031687575,222,90565.28617155977,1.1945679084919785,0.3950617283950617,0.027888270840476268,81,-12851.82105779007,0.8694415604918253,0.6,0.015704049985362963,5,2
MA0,甲醇,27612.282764308533,1.0399435280199543,0.3858520900321543,0.025072272638900002,311,-133503.33727817965,0.6075455511296002,0.43373493975903615,0.040712338115485296,83,-72911.81348078826,0.19415845784924335,0.3333333333333333,0.01809581900833491,3,1
TA0,PTA,92417.82881448661,1.146592748178285,0.3630573248407643,0.02066635132514973,314,-148753.3904332997,0.49458229471125853,0.3684210526315789,0.03503612306569812,76,38503.89325456887,2.58333549157828,0.5,0.004863643044619449,2,2
EB0,苯乙烯,-31466.8212358661,0.9510255815477041,0.33766233766233766,0.024858647280295167,308,43235.4115499703,1.1529343548514177,0.3611111111111111,0.024415178324143753,72,-49686.6605899901,0.0,0.0,0.009937332117998042,1,1
AG0,白银,323445.7707044082,1.4181340819038883,0.42813455657492355,0.014437673822316524,327,-49202.03199269888,0.9058775223436465,0.35135135135135137,0.052864195308654875,74,-39598.145323616875,0.49891118495001047,0.25,0.014722980078857206,4,1
JM0,焦煤,150233.33747627272,1.1476123139931904,0.4019607843137255,0.023333633509180194,306,225308.0496826312,1.7962285540621918,0.4861111111111111,0.014430733569435614,72,-77557.9614548112,0.034043440409874885,0.25,0.016058271085755714,4,2
IC0,中证500,97592.76873336712,1.146659934260484,0.42333333333333334,0.022640110056632533,300,129370.79472371926,1.7177356888175133,0.4782608695652174,0.012015479334825538,46,-5842.007957257789,0.7015748712743408,0.3333333333333333,0.0039045002504036774,3,2
PP0,聚丙烯,226216.80894360063,1.6927765290763235,0.42105263157894735,0.016593032784536388,304,226934.47069085122,2.3539765763391025,0.5217391304347826,0.015763336457525777,69,73987.83000865986,inf,1.0,0.0,3,3
SC0,原油,236291.03837818443,1.3879289620461943,0.44107744107744107,0.017708621774089755,297,86573.6981830103,1.2659442473143185,0.39759036144578314,0.01595214596546051,83,-61047.18609452646,0.7030953191267078,0.25,0.041122414045455497,4,2
SN0,锡,-176064.993906895,0.7488135531482717,0.3649851632047478,0.04669047947544962,337,-148181.57495634095,0.5952437620896407,0.3563218390804598,0.04676411834608831,87,-61350.22323541298,0.004728532195791865,0.2,0.012270044647082687,5,0
IM0,中证1000,47518.011960189426,1.0635817816382138,0.3848684210526316,0.04383794720681148,304,116385.28672425497,1.7310252515171738,0.4230769230769231,0.020257433837046278,52,1318.5752602427283,1.0813223875072995,0.3333333333333333,0.003231503174712297,3,3
L0,塑料,2147.6307590301058,1.005046862908872,0.4119496855345912,0.014816990968381757,318,-50016.01110109264,0.7829945405180838,0.410958904109589,0.022568961788224637,73,7450.7240234726105,5.02705971847025,0.6666666666666666,0.0003700329542817548,3,2
