symbol,entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,qty,multiplier,atr_entry,pnl,r_mult,risk_amt,bars_held,exit_reason,equity_at_entry
IF0,45,53,2022-05-20 02:00:00,2022-05-23 02:00:00,1,4037.0,4021.4720571691682,1,300.0,29.128970529663544,-4658.382849249529,-0.3553837193346478,13108.036738348594,8,stop,2000000.0
IH0,45,53,2022-05-20 02:00:00,2022-05-23 02:00:00,1,2786.2,2777.5425294566394,1,300.0,18.940953266432405,-2597.2411630081297,-0.30471787495171115,8523.428969894583,8,stop,2000000.0
IC0,45,61,2022-05-20 02:00:00,2022-05-24 02:00:00,1,5832.2,5849.00043434299,1,200.0,47.103241517274206,3360.086868598046,0.2377817152538429,14130.972455182262,16,stop,2000000.0
LH0,76,84,2022-05-26 01:30:00,2022-05-27 01:30:00,-1,18880.0,18764.03332439306,1,16.0,114.65187489126305,1855.4668097110116,0.6743118430868642,2751.644997390313,8,stop,1996104.4628563405
LH0,99,110,2022-05-31 01:00:00,2022-06-01 02:30:00,1,18880.0,18917.835973644356,1,16.0,139.38671746771584,605.3755783097004,0.18096403221069554,3345.2812192251804,11,stop,1997959.9296660514
LH0,116,121,2022-06-02 01:30:00,2022-06-02 06:00:00,-1,18820.0,18959.741361703753,1,16.0,111.56791081571173,-2235.8617872600444,-0.8350152577149659,2677.6298595770813,5,stop,1998565.305244361
IH0,125,126,2022-06-06 02:00:00,2022-06-06 02:30:00,-1,2761.6,2784.0356878120474,1,300.0,14.957125208031599,-6730.706343614247,-1.000000000000004,6730.70634361422,1,stop,1996329.443457101
LH0,122,136,2022-06-02 06:30:00,2022-06-07 05:30:00,1,18950.0,19093.222468442396,1,16.0,106.8156126800476,2291.5594950783416,0.8938922244847034,2563.5747043211422,14,stop,1996329.443457101
LH0,138,152,2022-06-07 06:30:00,2022-06-09 05:30:00,-1,18800.0,18823.26973713622,1,16.0,143.24067365710002,-372.31579417950707,-0.10830134831639598,3437.7761677704,14,stop,1991890.2966085651
LH0,164,183,2022-06-13 01:30:00,2022-06-15 03:00:00,1,19200.0,19275.75406660389,1,16.0,141.15874942132908,1212.0650656622602,0.3577724461026564,3387.809986111898,19,stop,1991517.9808143857
IC0,180,187,2022-06-15 01:30:00,2022-06-15 06:30:00,1,6288.2,6291.507836150067,1,200.0,57.63461620234567,661.5672300134975,0.03826214600445697,17290.3848607037,7,stop,1991517.9808143857
IF0,180,187,2022-06-15 01:30:00,2022-06-15 06:30:00,1,4239.4,4298.283773759255,1,300.0,31.70361213296133,17665.132127776724,1.2382137722415545,14266.625459832598,7,stop,1991517.9808143857
IH0,180,187,2022-06-15 01:30:00,2022-06-15 06:30:00,1,2886.0,2934.4348915369906,1,300.0,19.686576192281336,14530.467461097169,1.6402002753524603,8858.959286526602,7,stop,1991517.9808143857
IH0,197,198,2022-06-17 02:00:00,2022-06-17 02:30:00,1,2885.0,2852.171880076118,1,300.0,21.88541328258793,-9848.435977164536,-0.9999999999999967,9848.435977164569,1,stop,2025587.2126989353
