symbol,n_signals,n_trades,pnl,wins
IM0,257,189,346234.5873211756,71
TF0,223,170,-4490.637074432298,50
IC0,242,180,230645.34226557752,67
TS0,284,206,-353.101781908264,78
AU0,219,147,52540.08108201253,51
IF0,286,202,167529.90238771526,79
CU0,314,207,-2993.685661365962,60
LC0,238,147,59751.42964273991,60
M0,363,220,412.50559325544054,82
AG0,326,206,118460.8093605499,83
HC0,468,261,-3827.048341808072,96
RB0,422,259,-7923.533946507041,97
Y0,345,217,-7071.512285497902,74
P0,336,208,10041.439971328255,82
CF0,441,269,6924.02317095507,89
IH0,305,224,-19039.69997463555,81
JM0,304,178,50244.10737013457,74
I0,396,239,-19348.467080147213,81
SR0,357,222,-7235.033521150217,72
TA0,392,252,-5892.577941511454,94
LH0,345,200,2308.6335287161346,75
FG0,406,245,39797.14046943671,94
OI0,340,231,-11588.539103585354,80
SA0,394,230,-9824.773581302443,85
AL0,329,217,2714.1993678548533,79
V0,368,234,20227.14036185488,83
RU0,407,251,13023.630331214172,92
PP0,316,203,28118.17043922634,79
MA0,367,225,21310.829749096436,89
RM0,405,250,7745.340575793612,95
SP0,427,251,2748.600237535811,88
C0,372,220,3663.0622279268528,81
NI0,363,251,-28434.460713332344,79
AO0,344,224,-16189.442570448073,69
SC0,298,186,-21456.822586287217,75
BU0,355,233,-15121.295888762685,78
L0,366,225,5820.631678203308,92
EG0,357,230,-3894.727916637362,74
SN0,340,231,111419.27409941997,80
EB0,355,225,1444.5005175890628,87
