date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-02-02,601838,3.69,7.49,7.49,3.69,7661,8758284.0,165.94,227.07,5.2,0.21
2018-02-09,601838,8.71,8.74,11.9,8.54,3608642,5343726567.0,44.86,16.69,1.25,99.9
2018-02-14,601838,9.05,7.53,9.84,7.51,2774605,3707147088.0,26.66,-13.84,-1.21,76.81
2018-02-23,601838,7.75,7.78,8.18,7.58,1163649,1457096400.0,7.97,3.32,0.25,32.21
2018-03-02,601838,8.0,8.23,8.8,7.66,3536814,4540356896.0,14.65,5.78,0.45,97.91
2018-03-09,601838,8.17,8.23,9.3,7.85,3391463,4418169632.0,17.62,0.0,0.0,93.89
2018-03-16,601838,8.28,7.16,8.73,7.14,2591895,3283993344.0,19.32,-13.0,-1.07,71.75
2018-03-23,601838,7.11,5.93,7.56,5.8,1728444,2008868007.0,24.58,-17.18,-1.23,47.85
2018-03-30,601838,5.66,6.35,6.93,5.47,1557772,1706354912.0,24.62,7.08,0.42,43.12
2018-04-04,601838,6.35,5.94,6.47,5.87,675689,730531393.0,9.45,-6.46,-0.41,18.71
2018-04-13,601838,5.94,6.53,7.0,5.75,2020898,2257824997.0,21.04,9.93,0.59,55.95
2018-04-20,601838,6.4,5.64,6.46,5.59,1574678,1702861080.0,13.32,-13.63,-0.89,43.59
2018-04-27,601838,5.62,5.83,6.15,5.59,966994,1017702089.0,9.93,3.37,0.19,26.77
2018-05-04,601838,5.99,5.74,6.05,5.7,513991,542074329.0,6.0,-1.54,-0.09,14.23
2018-05-11,601838,5.76,5.91,6.05,5.72,942821,1001433970.0,5.75,2.96,0.17,26.1
2018-05-18,601838,5.88,5.94,6.29,5.77,1071142,1149357361.0,8.8,0.51,0.03,29.65
2018-05-25,601838,6.03,6.18,6.39,5.94,1418804,1544536295.0,7.58,4.04,0.24,39.28
2018-06-01,601838,6.12,6.47,6.69,5.8,1778348,1938594277.0,14.4,4.69,0.29,49.23
2018-06-08,601838,6.52,5.89,6.68,5.86,1637578,1791277503.0,12.67,-8.96,-0.58,45.33
2018-06-15,601838,5.76,5.42,5.86,5.39,875680,877152589.0,7.98,-7.98,-0.47,24.24
2018-06-22,601838,5.19,4.4,5.27,4.1,815219,732714245.0,21.59,-18.82,-1.02,22.57
2018-06-29,601838,4.53,4.33,4.59,4.02,759682,662545378.0,12.95,-1.59,-0.07,21.03
2018-07-06,601838,4.32,3.8,4.35,3.66,688783,579629051.0,15.94,-12.24,-0.53,19.07
2018-07-13,601838,3.83,3.85,4.02,3.59,901689,745952156.0,11.32,1.32,0.05,24.96
2018-07-20,601838,3.85,4.44,4.44,3.51,723443,603748695.0,24.16,15.32,0.59,20.03
2018-07-27,601838,4.83,5.07,6.08,4.72,4624258,4510930240.0,30.63,14.19,0.63,128.02
2018-08-03,601838,5.07,4.57,5.42,4.52,2449144,2271273232.0,17.75,-9.86,-0.5,67.8
2018-08-10,601838,4.57,4.67,4.98,4.42,1815919,1656667831.0,12.25,2.19,0.1,50.27
2018-08-17,601838,4.54,3.91,4.56,3.88,1128944,976400697.0,14.56,-16.27,-0.76,31.25
2018-08-24,601838,3.94,4.88,5.14,3.9,1630857,1452882598.0,31.71,24.81,0.97,45.15
2018-08-31,601838,4.71,4.5,4.86,4.46,1509152,1372445448.0,8.2,-7.79,-0.38,41.78
2018-09-07,601838,4.43,4.36,4.67,4.2,946309,832652450.0,10.44,-3.11,-0.14,26.2
2018-09-14,601838,4.34,4.47,4.75,4.25,968067,863007637.0,11.47,2.52,0.11,26.8
2018-09-21,601838,4.39,5.06,5.36,4.25,1342863,1221969813.0,24.83,13.2,0.59,37.18
2018-09-28,601838,4.87,4.81,4.96,4.55,1129467,1038000962.0,8.1,-4.94,-0.25,31.27
2018-10-12,601838,4.62,4.05,4.77,3.73,997667,869809178.0,21.62,-15.8,-0.76,27.62
2018-10-19,601838,4.03,3.77,4.03,3.5,669631,546582574.0,13.09,-6.91,-0.28,18.54
2018-10-26,601838,3.8,4.24,4.74,3.78,1562407,1347063013.0,25.46,12.47,0.47,43.25
2018-11-02,601838,4.22,4.55,4.68,3.98,1299928,1137644275.0,16.51,7.31,0.31,35.99
2018-11-09,601838,4.48,4.04,4.56,4.03,801335,699664796.0,11.65,-11.21,-0.51,22.18
2018-11-16,601838,4.01,4.4,4.55,3.99,965916,836809922.0,13.86,8.91,0.36,26.74
2018-11-23,601838,4.4,4.09,4.73,4.05,1110496,984781945.0,15.45,-7.05,-0.31,30.74
2018-11-30,601838,4.07,3.94,4.24,3.87,570032,485399235.0,9.05,-3.67,-0.15,15.78
2018-12-07,601838,4.07,4.0,4.18,3.93,564512,478276673.0,6.35,1.52,0.06,15.63
2018-12-14,601838,3.91,3.86,4.08,3.85,365903,306350466.0,5.75,-3.5,-0.14,10.13
2018-12-21,601838,3.86,3.74,3.92,3.69,281745,231568759.0,5.96,-3.11,-0.12,7.8
2018-12-28,601838,3.74,3.63,3.79,3.56,292039,236455455.0,6.15,-2.94,-0.11,8.08
2019-01-04,601838,3.63,3.81,3.92,3.44,322280,260584066.0,13.22,4.96,0.18,8.92
2019-01-11,601838,3.82,3.62,3.85,3.59,547141,444872142.0,6.82,-4.99,-0.19,15.15
2019-01-18,601838,3.6,3.66,3.68,3.53,375608,301230063.0,4.14,1.1,0.04,10.4
2019-01-25,601838,3.65,3.59,3.69,3.52,378423,303853774.0,4.64,-1.91,-0.07,10.48
2019-02-01,601838,3.59,3.37,3.65,3.01,716811,558847444.0,17.83,-6.13,-0.22,3.84
2019-02-15,601838,3.35,3.51,3.63,3.31,977033,773676093.0,9.5,4.15,0.14,5.23
2019-02-22,601838,3.53,3.78,3.84,3.48,1451733,1172281136.0,10.26,7.69,0.27,7.78
2019-03-01,601838,3.95,4.61,5.02,3.8,3613743,3193131792.0,32.28,21.96,0.83,19.36
2019-03-08,601838,4.67,4.37,5.47,4.36,3841987,3583762656.0,24.08,-5.21,-0.24,20.58
2019-03-15,601838,4.44,4.5,4.78,4.38,1677861,1504013504.0,9.15,2.97,0.13,8.99
2019-03-22,601838,4.52,4.62,4.87,4.43,1830452,1667637365.0,9.78,2.67,0.12,9.81
2019-03-29,601838,4.44,4.53,4.56,4.21,1078251,949476408.0,7.58,-1.95,-0.09,5.78
2019-04-04,601838,4.55,4.86,4.94,4.53,1567087,1435895083.0,9.05,7.28,0.33,8.4
2019-04-12,601838,4.9,4.75,5.12,4.68,1304376,1207143771.0,9.05,-2.26,-0.11,6.99
2019-04-19,601838,4.96,5.17,5.43,4.75,2201405,2097078126.0,14.32,8.84,0.42,11.79
2019-04-26,601838,5.19,4.71,5.25,4.66,1259778,1171403390.0,11.41,-8.9,-0.46,6.75
2019-04-30,601838,4.76,5.03,5.09,4.73,637325,593576656.0,7.64,6.79,0.32,3.41
2019-05-10,601838,4.78,4.45,4.93,4.2,1177104,1052350131.0,14.51,-11.53,-0.58,6.31
2019-05-17,601838,4.31,4.18,4.42,4.14,686979,600918928.0,6.29,-6.07,-0.27,3.68
2019-05-24,601838,4.09,4.06,4.19,3.88,476522,404423638.0,7.42,-2.87,-0.12,2.55
2019-05-31,601838,4.02,4.06,4.23,3.95,606900,516735648.0,6.9,0.0,0.0,3.25
2019-06-06,601838,4.06,4.04,4.13,3.88,376626,317363778.0,6.16,-0.49,-0.02,2.02
