date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,600958,11.33,11.55,11.73,11.25,838502,1187209222.0,4.25,2.3,0.26,2.68
2018-01-12,600958,11.52,11.38,11.88,11.32,823649,1168324313.0,4.85,-1.47,-0.17,2.63
2018-01-19,600958,11.37,12.14,12.38,11.11,1727907,2505040068.0,11.16,6.68,0.76,5.53
2018-01-26,600958,12.03,12.13,12.51,11.96,1400435,2112695904.0,4.53,-0.08,-0.01,4.48
2018-02-02,600958,12.3,11.96,12.49,11.66,1314516,1945753842.0,6.84,-1.4,-0.17,4.2
2018-02-09,600958,11.78,11.14,12.22,10.6,1474524,2107585073.0,13.55,-6.86,-0.82,4.72
2018-02-14,600958,11.01,10.73,11.09,10.62,394887,525085651.0,4.22,-3.68,-0.41,1.26
2018-02-23,600958,10.8,10.8,10.88,10.64,313351,413197707.0,2.24,0.65,0.07,1.0
2018-03-02,600958,10.85,10.84,11.23,10.78,701578,941007236.0,4.17,0.37,0.04,2.24
2018-03-09,600958,10.83,11.07,11.11,10.79,552277,742850703.0,2.95,2.12,0.23,1.76
2018-03-16,600958,11.08,10.84,11.2,10.8,573293,773836778.0,3.61,-2.08,-0.23,1.83
2018-03-23,600958,10.79,9.93,10.96,9.86,616121,800819582.0,10.15,-8.39,-0.91,1.19
2018-03-30,600958,9.93,10.16,10.26,9.69,683182,839425211.0,5.74,2.32,0.23,1.32
2018-04-04,600958,10.2,10.06,10.45,9.96,477646,594991379.0,4.82,-0.98,-0.1,0.92
2018-04-13,600958,10.04,10.02,10.35,9.98,556255,693988291.0,3.68,-0.4,-0.04,1.08
2018-04-20,600958,9.99,9.51,10.06,9.49,586095,704652735.0,5.69,-5.09,-0.51,1.13
2018-04-27,600958,9.53,9.96,10.01,9.52,515212,619624298.0,5.15,4.73,0.45,1.0
2018-05-04,600958,10.11,9.99,10.21,9.73,482814,588662022.0,4.82,0.3,0.03,0.93
2018-05-11,600958,10.0,9.83,10.1,9.82,510454,621599919.0,2.8,-1.6,-0.16,0.99
2018-05-18,600958,9.82,9.72,9.91,9.61,329813,392226500.0,3.05,-1.12,-0.11,0.64
2018-05-25,600958,9.75,9.54,9.85,9.52,340302,402978584.0,3.4,-1.85,-0.18,0.66
2018-06-01,600958,9.52,8.83,9.6,8.72,542942,598541676.0,9.22,-7.44,-0.71,1.05
2018-06-08,600958,8.84,8.72,8.97,8.66,561829,598843161.0,3.51,-1.25,-0.11,1.08
2018-06-15,600958,8.72,8.64,8.93,8.61,426612,455845502.0,3.67,-0.92,-0.08,0.82
2018-06-22,600958,8.56,7.51,8.63,7.33,728984,679661384.0,15.05,-13.08,-1.13,1.41
2018-06-29,600958,7.58,7.59,7.66,7.27,650909,585651704.0,5.19,1.07,0.08,1.25
2018-07-06,600958,7.61,7.44,7.61,7.19,571017,508110949.0,5.53,-1.98,-0.15,1.1
2018-07-13,600958,7.41,7.38,7.59,6.97,667455,575679218.0,8.33,-0.81,-0.06,1.29
2018-07-20,600958,7.41,7.51,7.56,7.24,489745,426873907.0,4.34,1.76,0.13,0.94
2018-07-27,600958,7.51,7.61,7.91,7.44,629278,570503470.0,6.26,1.33,0.1,1.21
2018-08-03,600958,7.61,7.16,7.84,7.14,537904,476376385.0,9.2,-5.91,-0.45,1.04
2018-08-10,600958,6.95,7.13,7.2,6.88,433271,355629026.0,4.47,-0.42,-0.03,0.84
2018-08-17,600958,7.05,7.0,7.33,6.88,403312,336009257.0,6.31,-1.82,-0.13,0.78
2018-08-24,600958,6.98,7.37,7.45,6.96,420224,356765382.0,7.0,5.29,0.37,0.81
2018-08-31,600958,7.39,7.48,7.59,7.38,364134,319035906.0,2.85,1.49,0.11,0.7
2018-09-07,600958,7.41,7.52,7.59,7.27,357703,312126500.0,4.28,0.53,0.04,0.69
2018-09-14,600958,7.48,7.52,7.62,7.18,457598,397808467.0,5.85,0.0,0.0,0.88
2018-09-21,600958,7.49,7.7,7.72,7.48,480004,430097969.0,3.19,2.39,0.18,0.93
2018-09-28,600958,7.66,7.59,7.72,7.49,278345,248390518.0,2.99,-1.43,-0.11,0.54
2018-10-12,600958,7.44,6.59,7.57,6.56,465124,384958589.0,13.31,-13.18,-1.0,0.9
2018-10-19,600958,6.71,6.98,6.99,6.56,599710,474593596.0,6.53,5.92,0.39,1.16
2018-10-26,600958,6.98,7.82,8.08,6.98,1937884,1784263732.0,15.76,12.03,0.84,3.74
2018-11-02,600958,7.75,8.02,8.27,7.73,1543066,1447613085.0,6.91,2.56,0.2,2.97
2018-11-09,600958,7.96,7.82,8.23,7.71,1007336,951934474.0,6.48,-2.49,-0.2,1.94
2018-11-16,600958,7.82,8.4,8.65,7.81,1501653,1449598632.0,10.74,7.42,0.58,2.89
2018-11-23,600958,8.38,7.89,8.7,7.86,1375547,1364312122.0,10.0,-6.07,-0.51,2.65
2018-11-30,600958,7.9,7.83,8.16,7.57,829513,773340049.0,7.48,-0.76,-0.06,1.6
2018-12-07,600958,8.16,7.63,8.2,7.54,1031487,954334547.0,8.43,-2.55,-0.2,1.99
2018-12-14,600958,7.57,7.23,7.77,7.09,1085512,947693514.0,8.91,-5.24,-0.4,2.09
2018-12-21,600958,7.16,6.96,7.2,6.93,891267,736959505.0,3.73,-3.73,-0.27,1.72
2018-12-28,600958,6.94,6.84,6.98,6.62,1013164,797579286.0,5.17,-1.72,-0.12,1.78
2019-01-04,600958,6.86,7.52,7.64,6.77,999915,841163797.0,12.72,9.94,0.68,1.76
2019-01-11,600958,7.56,7.02,7.56,6.98,1850604,1575378649.0,7.71,-6.65,-0.5,3.26
2019-01-18,600958,7.07,7.13,7.32,7.0,1528279,1275794377.0,4.56,1.57,0.11,2.69
2019-01-25,600958,7.14,7.1,7.23,7.02,1057738,880974371.0,2.95,-0.42,-0.03,1.86
2019-02-01,600958,7.13,7.24,7.24,6.79,1112355,910364930.0,6.34,1.97,0.14,1.96
2019-02-15,600958,7.31,7.77,8.0,7.21,2090619,1880323253.0,10.91,7.32,0.53,3.68
2019-02-22,600958,7.86,9.76,9.85,7.85,5642165,5994501104.0,25.74,25.61,1.99,9.94
2019-03-01,600958,10.22,10.61,11.4,9.88,5633163,7171555856.0,15.57,8.71,0.85,9.92
2019-03-08,600958,10.89,10.16,11.67,10.16,7420092,9610310224.0,14.23,-4.24,-0.45,13.07
2019-03-15,600958,10.15,9.81,10.56,9.52,4302294,5195403680.0,10.24,-3.44,-0.35,7.58
2019-03-22,600958,9.85,10.01,10.27,9.7,3504439,4195170784.0,5.81,2.04,0.2,6.17
2019-03-29,600958,9.81,9.93,9.95,9.17,3262327,3730843984.0,7.79,-0.8,-0.08,5.75
2019-04-04,600958,10.03,10.56,10.72,9.85,3498355,4323106528.0,8.76,6.34,0.63,6.16
2019-04-12,600958,10.66,9.88,10.7,9.79,2821375,3440743056.0,8.62,-6.44,-0.68,4.97
2019-04-19,600958,10.06,10.08,10.21,9.48,2380192,2821040256.0,7.39,2.02,0.2,4.19
