date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-03-02,603986,51.01,51.62,59.92,51.01,145710,2324096192.0,15.97,-7.47,-4.17,9.89
2018-03-09,603986,52.11,60.23,63.19,52.11,400776,6903593664.0,21.46,16.68,8.61,27.2
2018-03-16,603986,60.85,65.59,72.11,60.31,334338,6485801168.0,19.59,8.9,5.36,22.69
2018-03-23,603986,64.86,60.9,71.97,58.67,316515,6058495424.0,20.28,-7.15,-4.69,21.48
2018-03-30,603986,62.78,68.07,70.97,62.24,307031,5904030288.0,14.33,11.77,7.17,20.84
2018-04-04,603986,69.23,69.18,74.94,68.72,190156,3898532688.0,9.14,1.63,1.11,12.91
2018-04-13,603986,69.18,64.47,69.92,61.98,197915,3750958560.0,11.48,-6.81,-4.71,13.43
2018-04-20,603986,63.4,71.19,72.84,60.99,394571,7661096000.0,18.38,10.42,6.72,26.78
2018-04-27,603986,71.06,59.97,71.24,57.94,302172,5693755328.0,18.68,-15.76,-11.22,20.51
2018-05-04,603986,59.83,59.46,62.07,53.6,167157,2832386256.0,14.12,-0.85,-0.51,11.34
2018-05-11,603986,59.1,56.5,61.28,55.24,155818,2658321968.0,10.16,-4.98,-2.96,10.58
2018-05-18,603986,55.39,57.41,60.22,53.75,176056,2929442416.0,11.45,1.61,0.91,11.95
2018-05-25,603986,57.1,58.05,63.62,57.1,261224,3326273600.0,11.36,1.11,0.64,12.66
2018-06-01,603986,57.88,49.64,58.72,49.12,254684,2839382592.0,16.54,-14.49,-8.41,12.35
2018-06-08,603986,50.51,49.91,53.94,49.31,243322,2628129968.0,9.33,0.54,0.27,11.8
2018-06-15,603986,49.49,50.0,50.91,45.9,267121,2736229568.0,10.04,0.18,0.09,12.95
2018-06-22,603986,49.31,43.39,52.47,41.39,240464,2351106432.0,22.16,-13.22,-6.61,11.59
2018-06-29,603986,43.99,51.86,51.88,41.75,344630,3440674032.0,23.35,19.52,8.47,16.62
2018-07-06,603986,51.54,49.24,55.93,48.57,409266,4416163504.0,14.19,-5.05,-2.62,19.73
2018-07-13,603986,49.3,55.77,56.7,46.6,405871,4327201536.0,20.51,13.26,6.53,19.57
2018-07-20,603986,55.98,57.23,60.26,54.67,338926,4004291440.0,10.02,2.62,1.46,16.34
2018-07-27,603986,58.17,56.85,62.55,54.65,330164,4077756592.0,13.8,-0.66,-0.38,15.92
2018-08-03,603986,56.82,51.95,60.01,51.9,309228,3609143952.0,14.27,-8.62,-4.9,14.91
2018-08-10,603986,50.57,53.21,53.89,46.58,286315,3017181120.0,14.07,2.43,1.26,13.81
2018-08-17,603986,52.44,48.93,55.31,47.77,265038,2856332032.0,14.17,-8.04,-4.28,12.78
2018-08-24,603986,48.47,53.68,54.49,47.32,264370,2823560176.0,14.65,9.71,4.75,12.75
2018-08-31,603986,52.61,52.27,56.18,52.26,224657,2547280944.0,7.3,-2.63,-1.41,10.83
2018-09-07,603986,52.05,48.83,54.38,47.51,243058,2616879072.0,13.14,-6.58,-3.44,11.72
2018-09-14,603986,48.36,41.29,48.36,40.1,319735,2965389584.0,16.92,-15.44,-7.54,15.42
2018-09-21,603986,40.91,41.75,43.86,39.55,266436,2336634096.0,10.44,1.11,0.46,12.85
2018-09-28,603986,41.14,41.76,43.68,40.62,173399,1552207600.0,7.33,0.02,0.01,8.36
2018-10-12,603986,39.86,33.05,39.86,30.74,338583,2507346912.0,21.84,-20.86,-8.71,16.33
2018-10-19,603986,32.82,32.51,34.4,29.9,271563,1914112786.0,13.62,-1.63,-0.54,13.09
2018-10-24,603986,32.87,31.66,35.87,31.39,202635,1470847120.0,13.78,-2.61,-0.85,9.77
2018-11-02,603986,32.72,33.83,34.25,28.86,230396,1598985296.0,17.02,6.85,2.17,11.11
2018-11-09,603986,33.3,30.22,34.0,29.95,364539,2510251056.0,11.97,-10.67,-3.61,17.58
2018-11-16,603986,30.22,36.73,37.51,30.19,540551,3952312384.0,24.22,21.54,6.51,26.06
2018-11-23,603986,35.38,33.64,39.23,33.56,420615,3244614672.0,15.44,-8.41,-3.09,20.28
2018-11-30,603986,33.74,34.93,36.46,33.01,279939,2086943568.0,10.26,3.83,1.29,13.5
2018-12-07,603986,36.54,35.53,37.66,34.59,273166,2123165664.0,8.79,1.72,0.6,13.17
2018-12-14,603986,35.31,32.47,36.28,32.3,228572,1690457967.0,11.2,-8.61,-3.06,11.02
2018-12-21,603986,32.62,30.66,32.84,29.89,171261,1166421624.0,9.09,-5.57,-1.81,8.26
2018-12-28,603986,30.42,28.29,31.13,27.37,217907,1409291102.0,12.26,-7.73,-2.37,10.51
2019-01-04,603986,28.37,27.48,28.42,25.85,128098,771120823.0,9.08,-2.86,-0.81,6.18
2019-01-11,603986,27.72,27.73,29.1,27.56,207409,1288675587.0,5.6,0.91,0.25,10.0
2019-01-18,603986,27.73,27.78,28.37,26.11,212087,1279909368.0,8.15,0.18,0.05,10.23
2019-01-25,603986,28.17,32.06,32.92,27.78,465767,3114927840.0,18.5,15.41,4.28,22.46
2019-02-01,603986,32.72,32.75,33.67,30.57,284310,1974962368.0,9.67,2.15,0.69,13.71
2019-02-15,603986,32.74,34.6,36.64,32.59,312342,2357986608.0,12.37,5.65,1.85,15.06
2019-02-22,603986,35.32,37.92,37.93,34.49,398708,3099344640.0,9.94,9.6,3.32,19.22
2019-03-01,603986,40.71,43.54,46.62,40.11,413142,3780154672.0,17.17,14.82,5.62,19.92
2019-03-08,603986,45.57,50.52,55.14,45.27,518295,5409574336.0,22.67,16.03,6.98,24.99
2019-03-15,603986,51.35,46.49,56.44,45.07,479433,5100768128.0,22.51,-7.98,-4.03,23.12
2019-03-22,603986,47.38,49.55,52.1,45.89,300152,3093186832.0,13.36,6.58,3.06,14.47
2019-03-29,603986,47.61,48.32,50.55,44.86,300313,3013574000.0,11.48,-2.48,-1.23,14.48
2019-04-04,603986,48.84,57.22,57.22,48.8,300680,3328597088.0,17.43,18.42,8.9,14.5
2019-04-12,603986,56.7,48.53,56.89,47.8,260969,2839519888.0,15.89,-15.19,-8.69,12.58
2019-04-19,603986,50.06,47.05,50.46,45.62,224946,2266659936.0,9.97,-3.05,-1.48,10.85
2019-04-26,603986,47.26,45.83,50.56,45.73,225714,2291823296.0,10.27,-2.59,-1.22,10.88
2019-04-30,603986,45.9,38.83,46.3,36.8,161353,1381915968.0,20.73,-15.27,-7.0,7.78
2019-05-10,603986,37.05,39.99,40.24,33.68,299974,2371615200.0,16.89,2.99,1.16,14.46
2019-05-17,603986,39.09,36.45,39.96,36.28,227135,1852223291.0,9.2,-8.85,-3.54,10.95
2019-05-24,603986,37.82,38.08,41.82,36.29,374894,3126971696.0,15.17,4.47,1.63,18.08
2019-05-31,603986,38.27,35.78,40.6,35.27,311861,2548124688.0,14.0,-6.04,-2.3,15.04
2019-06-06,603986,36.37,34.6,36.69,34.24,122868,927650398.0,6.85,-3.3,-1.18,5.92
2019-06-14,603986,34.7,36.95,38.21,34.54,217453,1691228796.0,10.61,6.79,2.35,10.48
2019-06-21,603986,36.03,40.74,41.28,35.46,232955,1916071804.0,15.75,10.26,3.79,11.17
