date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2020-11-06,601995,33.43,50.81,50.81,33.43,5100745,21912672176.0,62.81,83.63,23.14,195.97
2020-11-13,601995,52.89,56.09,61.71,50.25,3838399,22163936864.0,22.55,10.39,5.28,147.47
2020-11-20,601995,55.69,57.25,60.46,54.44,3127258,18324745456.0,10.73,2.07,1.16,120.15
2020-11-27,601995,57.19,61.84,63.09,56.59,2964797,18266293824.0,11.35,8.02,4.59,113.91
2020-12-04,601995,62.77,62.59,70.29,61.75,3218016,21425359472.0,13.81,1.21,0.75,123.64
2020-12-11,601995,62.01,59.38,63.39,58.02,1354910,8411477552.0,8.58,-5.13,-3.21,52.06
2020-12-18,601995,58.92,62.24,64.57,57.02,1765926,10935967056.0,12.71,4.82,2.86,67.85
2020-12-25,601995,61.88,65.46,66.89,61.21,2051014,13425676752.0,9.13,5.17,3.22,78.8
2020-12-31,601995,65.04,74.16,75.65,64.45,1791440,12545657968.0,17.11,13.29,8.7,68.83
2021-01-08,601995,75.59,70.07,76.58,69.59,2062525,15099662864.0,9.43,-5.52,-4.09,79.24
2021-01-15,601995,70.07,66.94,73.47,66.24,1771829,12412386752.0,10.32,-4.47,-3.13,68.07
2021-01-22,601995,66.34,67.64,71.25,65.69,1379507,9630361840.0,8.31,1.05,0.7,53.0
2021-01-29,601995,67.09,59.9,68.34,59.24,1049222,6814448752.0,13.45,-11.44,-7.74,40.31
2021-02-05,601995,60.85,59.39,61.16,55.11,1033590,6209748128.0,10.1,-0.85,-0.51,39.71
2021-02-10,601995,59.39,61.46,63.65,58.39,728465,4571870464.0,8.86,3.49,2.07,27.99
2021-02-19,601995,62.47,61.08,63.09,58.89,389449,2423338256.0,6.83,-0.62,-0.38,14.96
2021-02-26,601995,61.14,56.69,61.88,55.29,788570,4695374608.0,10.79,-7.19,-4.39,30.3
2021-03-05,601995,56.49,54.01,57.32,51.9,680648,3836392672.0,9.56,-4.73,-2.68,26.15
2021-03-12,601995,54.19,48.41,54.49,46.68,960081,4788645616.0,14.46,-10.37,-5.6,36.89
2021-03-19,601995,47.14,47.59,48.69,45.9,699228,3371938992.0,5.76,-1.69,-0.82,26.86
2021-03-26,601995,48.27,49.81,53.76,47.66,1021437,5224102816.0,12.82,4.66,2.22,39.24
2021-04-02,601995,49.49,50.02,51.41,47.7,624274,3143264160.0,7.45,0.42,0.21,23.98
2021-04-09,601995,50.02,49.0,50.99,48.9,534807,2732101696.0,4.18,-2.04,-1.02,20.55
2021-04-16,601995,48.3,46.96,48.73,46.49,426093,2057894416.0,4.57,-4.16,-2.04,16.37
2021-04-23,601995,46.79,51.43,53.39,46.4,997632,5158136640.0,14.89,9.52,4.47,38.33
2021-04-30,601995,51.17,48.82,51.59,47.37,807301,4067817920.0,8.21,-5.07,-2.61,31.02
2021-05-07,601995,46.93,41.53,47.4,40.67,939246,4159128432.0,13.79,-14.93,-7.29,29.26
2021-05-14,601995,41.0,45.08,45.08,40.27,1210192,5209418304.0,11.58,8.55,3.55,37.7
