date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,601985,6.15,6.22,6.24,6.15,709667,525067904.0,1.46,1.14,0.07,1.68
2018-01-12,601985,6.21,6.15,6.28,6.13,860217,635618697.0,2.41,-1.13,-0.07,2.03
2018-01-19,601985,6.15,6.35,6.4,6.03,1796495,1339754971.0,6.02,3.25,0.2,4.25
2018-01-26,601985,6.35,6.41,6.61,6.27,2259366,1722086618.0,5.35,0.94,0.06,5.34
2018-02-02,601985,6.42,6.39,6.53,6.3,2127145,1618759547.0,3.59,-0.31,-0.02,5.03
2018-02-09,601985,6.3,5.94,6.36,5.82,2177090,1605649876.0,8.45,-7.04,-0.45,5.15
2018-02-14,601985,5.93,5.9,5.98,5.88,482747,344355291.0,1.68,-0.67,-0.04,1.14
2018-02-23,601985,5.95,6.01,6.02,5.93,246643,177386701.0,1.53,1.86,0.11,0.58
2018-03-02,601985,6.03,5.95,6.09,5.94,894117,644954891.0,2.5,-1.0,-0.06,2.11
2018-03-09,601985,5.95,6.06,6.08,5.92,857313,617967342.0,2.69,1.85,0.11,2.03
2018-03-16,601985,6.09,5.93,6.09,5.92,885421,637750036.0,2.81,-2.15,-0.13,2.09
2018-03-23,601985,5.92,5.51,5.97,5.4,1187925,829420641.0,9.61,-7.08,-0.42,2.81
2018-03-30,601985,5.45,5.52,5.57,5.3,934562,622646461.0,4.9,0.18,0.01,2.21
2018-04-04,601985,5.54,5.46,5.55,5.41,441395,294675894.0,2.54,-1.09,-0.06,1.04
2018-04-13,601985,5.46,5.44,5.53,5.41,602898,402245137.0,2.2,-0.37,-0.02,1.43
2018-04-20,601985,5.43,5.15,5.44,5.12,823478,535552634.0,5.88,-5.33,-0.29,1.95
2018-04-27,601985,5.15,5.47,5.53,5.13,1007642,661362734.0,7.77,6.21,0.32,2.38
2018-05-04,601985,5.46,5.31,5.52,5.28,568831,373216833.0,4.39,-2.93,-0.16,1.34
2018-05-11,601985,5.3,5.35,5.42,5.28,674375,442116104.0,2.64,0.75,0.04,1.59
2018-05-18,601985,5.34,5.39,5.39,5.3,633480,414876896.0,1.68,0.75,0.04,1.5
2018-05-25,601985,5.4,5.34,5.5,5.32,737970,490198471.0,3.34,-0.93,-0.05,1.74
2018-06-01,601985,5.31,4.86,5.33,4.83,1081161,673234237.0,9.36,-8.99,-0.48,2.56
2018-06-08,601985,4.87,4.59,4.92,4.44,1502675,885180366.0,9.88,-5.56,-0.27,3.54
2018-06-15,601985,4.58,4.8,4.87,4.53,1265696,753758002.0,7.41,4.58,0.21,0.81
2018-06-22,601985,4.72,4.53,4.73,4.36,833391,478785608.0,7.71,-5.63,-0.27,0.54
2018-06-29,601985,4.56,4.45,4.58,4.27,787848,440328261.0,6.84,-1.77,-0.08,0.51
2018-07-06,601985,4.44,4.37,4.64,4.26,885284,497483305.0,8.54,-1.8,-0.08,0.57
2018-07-13,601985,4.37,4.41,4.46,4.3,643343,359961180.0,3.66,0.92,0.04,0.41
2018-07-20,601985,4.41,4.55,4.57,4.35,872486,491224361.0,4.99,3.17,0.14,0.56
2018-07-27,601985,4.55,4.63,4.78,4.5,1167817,671860503.0,6.15,1.76,0.08,0.75
2018-08-03,601985,4.64,4.41,4.73,4.38,834930,473254852.0,7.56,-4.75,-0.22,0.54
2018-08-10,601985,4.41,4.64,4.69,4.34,1020498,575073857.0,7.94,5.22,0.23,0.66
2018-08-17,601985,4.59,4.68,4.77,4.56,1037893,601607760.0,4.53,0.86,0.04,0.67
2018-08-24,601985,4.67,4.67,4.79,4.61,683647,396622976.0,3.85,-0.21,-0.01,0.44
2018-08-31,601985,4.69,4.76,4.89,4.69,895195,526545941.0,4.28,1.93,0.09,0.58
2018-09-07,601985,4.74,4.69,4.85,4.61,590190,343691010.0,5.04,-1.47,-0.07,0.38
2018-09-14,601985,4.67,4.67,4.7,4.6,340952,195839888.0,2.13,-0.43,-0.02,0.22
2018-09-21,601985,4.63,4.91,4.93,4.61,848458,499682094.0,6.85,5.14,0.24,0.55
2018-09-28,601985,4.89,4.92,5.01,4.86,741149,446481185.0,3.05,0.2,0.01,0.48
2018-10-12,601985,4.89,4.43,4.89,4.25,960485,552168247.0,13.01,-9.96,-0.49,0.62
2018-10-19,601985,4.4,4.32,4.45,4.1,780964,421682571.0,7.9,-2.48,-0.11,0.5
2018-10-26,601985,4.34,4.38,4.59,4.24,826365,455559198.0,8.1,1.39,0.06,0.53
2018-11-02,601985,4.36,4.55,4.59,4.2,1537987,847887290.0,8.9,3.88,0.17,0.99
2018-11-09,601985,4.53,4.39,4.55,4.37,816445,454834496.0,3.96,-3.52,-0.16,0.52
2018-11-16,601985,4.39,4.5,4.55,4.36,1107265,615419385.0,4.33,2.51,0.11,0.71
2018-11-23,601985,4.51,4.24,4.54,4.24,926194,510298179.0,6.67,-5.78,-0.26,0.6
2018-11-30,601985,4.24,4.23,4.35,4.16,839456,446778545.0,4.48,-0.24,-0.01,0.54
2018-12-07,601985,4.31,4.23,4.34,4.2,725847,389510994.0,3.31,0.0,0.0,0.47
2018-12-14,601985,4.2,4.24,4.3,4.19,660794,352614478.0,2.6,0.24,0.01,0.42
2018-12-21,601985,4.25,4.16,4.32,4.14,675415,358636310.0,4.25,-1.89,-0.08,0.43
2018-12-28,601985,4.18,4.18,4.31,4.14,893935,473110244.0,4.09,0.48,0.02,0.57
2019-01-04,601985,4.19,4.24,4.26,4.13,453038,239711164.0,3.11,1.44,0.06,0.29
2019-01-11,601985,4.25,4.29,4.37,4.23,1044945,564255646.0,3.3,1.18,0.05,0.67
