date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2023-06-09,688472,12.69,12.84,13.39,11.75,2831691,3588367210.0,15.06,17.91,1.95,67.04
2023-06-16,688472,12.77,19.47,19.47,12.6,6554679,10128074821.0,53.5,51.64,6.63,155.17
2023-06-21,688472,20.04,18.6,20.35,17.67,3122181,5922476279.0,13.76,-4.47,-0.87,73.91
2023-06-30,688472,18.4,18.15,20.58,17.19,2993198,5700846489.0,18.23,-2.42,-0.45,68.96
2023-07-07,688472,18.44,15.72,18.65,15.5,1881712,3255867434.0,17.36,-13.39,-2.43,43.35
2023-07-14,688472,15.86,16.16,17.28,15.67,1986110,3342728609.0,10.24,2.8,0.44,47.02
2023-07-21,688472,16.27,15.29,16.48,15.28,984195,1578666784.0,7.43,-5.38,-0.87,23.3
2023-07-28,688472,15.25,15.85,16.07,14.8,1274974,1990801287.0,8.31,3.66,0.56,30.18
2023-08-04,688472,15.79,15.27,15.79,14.89,1163368,1799492761.0,5.68,-3.66,-0.58,27.54
2023-08-11,688472,15.27,16.01,16.99,14.9,1362730,2199401555.0,13.69,4.85,0.74,32.26
2023-08-18,688472,15.86,15.69,16.38,15.09,1040472,1661509171.0,8.06,-2.0,-0.32,24.63
2023-08-25,688472,15.59,13.95,15.8,13.54,1472518,2134757488.0,14.4,-11.09,-1.74,34.86
2023-09-01,688472,15.06,14.98,15.77,14.52,1579358,2437612740.0,8.96,7.38,1.03,37.39
2023-09-08,688472,15.06,13.95,15.35,13.78,1012717,1491194213.0,10.48,-6.88,-1.03,23.97
2023-09-15,688472,13.95,13.8,14.17,13.71,583856,827955282.0,3.3,-1.08,-0.15,13.82
2023-09-22,688472,13.78,13.07,13.97,12.85,740665,995828520.0,8.12,-5.29,-0.73,17.53
2023-09-28,688472,12.98,14.01,14.43,12.67,1247141,1721979096.0,13.47,7.19,0.94,29.52
2023-10-13,688472,13.76,13.21,14.0,13.09,990146,1363992810.0,6.5,-5.71,-0.8,23.44
2023-10-20,688472,13.2,12.72,13.26,12.5,717875,932681572.0,5.75,-3.71,-0.49,16.99
2023-10-27,688472,12.59,12.79,12.94,11.99,772707,970800891.0,7.47,0.55,0.07,18.29
2023-11-03,688472,12.69,13.05,13.29,12.45,904629,1186289966.0,6.57,2.03,0.26,21.42
2023-11-10,688472,13.1,14.7,15.43,13.1,1586693,2304640353.0,17.85,12.64,1.65,37.56
2023-11-17,688472,14.99,13.74,15.39,13.6,1470534,2167839906.0,12.18,-6.53,-0.96,34.81
2023-11-24,688472,13.77,13.02,13.78,12.9,743289,1006421654.0,6.4,-5.24,-0.72,17.6
2023-12-01,688472,13.0,11.51,13.02,11.45,1251938,1545459344.0,12.06,-11.6,-1.51,29.64
2023-12-08,688472,11.55,11.49,11.74,11.21,1136712,1324354805.0,4.6,-0.17,-0.02,26.91
2023-12-15,688472,11.35,11.17,11.54,11.02,1041318,1193466923.0,4.53,-2.79,-0.32,23.22
2023-12-22,688472,11.14,11.78,12.14,10.84,1231487,1429619480.0,11.64,5.46,0.61,27.46
2023-12-29,688472,11.77,12.42,12.99,11.46,1547489,1916161415.0,12.99,5.43,0.64,34.51
2024-01-05,688472,12.49,12.0,12.64,11.89,773729,966896120.0,6.04,-3.38,-0.42,17.14
2024-01-12,688472,11.93,13.7,14.05,11.75,2203964,2947545798.0,19.17,14.17,1.7,48.82
2024-01-19,688472,13.62,14.06,14.82,13.29,1520154,2169933566.0,11.17,2.63,0.36,33.67
2024-01-26,688472,13.91,13.63,14.67,13.49,1207338,1719853920.0,8.39,-3.06,-0.43,26.74
2024-02-02,688472,13.59,12.1,13.77,11.79,1211355,1582592205.0,14.53,-11.23,-1.53,26.83
2024-02-08,688472,11.87,12.73,12.88,11.05,1196895,1448946642.0,15.12,5.21,0.63,26.51
2024-02-23,688472,12.67,14.08,14.32,12.24,1115372,1501159259.0,16.34,10.6,1.35,24.7
2024-03-01,688472,13.94,13.38,14.71,13.14,1121697,1562357585.0,11.15,-4.97,-0.7,24.84
2024-03-08,688472,13.47,13.49,13.98,12.61,1435985,1946992664.0,10.24,0.82,0.11,31.81
