date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,300347,20.93,20.81,21.28,20.41,96559,343231756.0,4.22,1.02,0.21,3.18
2018-01-12,300347,21.04,19.81,21.04,19.48,91852,318478418.0,7.5,-4.81,-1.0,3.03
2018-01-19,300347,19.74,19.75,20.8,19.28,144871,498170266.0,7.67,-0.3,-0.06,4.77
2018-01-26,300347,19.48,21.41,22.26,19.08,174126,617686817.0,16.1,8.41,1.66,5.74
2018-02-02,300347,21.28,21.34,23.08,21.04,230740,860423858.0,9.53,-0.33,-0.07,7.6
2018-02-09,300347,21.03,19.92,21.7,19.38,181955,638249661.0,10.87,-6.65,-1.42,5.99
2018-02-14,300347,20.34,20.3,21.74,19.96,119067,422296216.0,8.94,1.91,0.38,3.92
2018-02-23,300347,20.48,21.92,22.34,20.07,73083,266831381.0,11.18,7.98,1.62,2.41
2018-03-02,300347,22.13,23.14,24.19,21.88,155953,606609594.0,10.54,5.57,1.22,5.14
2018-03-09,300347,23.14,27.28,28.14,23.14,243147,1052040883.0,21.61,17.89,4.14,8.01
2018-03-16,300347,27.15,26.73,28.88,26.67,189587,866373359.0,8.1,-2.02,-0.55,6.25
2018-03-23,300347,27.15,28.36,30.56,26.78,255934,1201686257.0,14.14,6.1,1.63,8.43
2018-03-30,300347,28.04,32.95,34.34,27.84,400787,2087913216.0,22.92,16.18,4.59,13.2
2018-04-04,300347,33.28,31.08,33.82,30.81,177248,923503408.0,9.14,-5.68,-1.87,5.84
2018-04-13,300347,31.2,31.2,33.58,29.82,242839,1258206067.0,12.1,0.39,0.12,8.0
2018-04-20,300347,30.7,33.92,35.81,30.68,245172,1328912212.0,16.44,8.72,2.72,8.08
2018-04-27,300347,33.75,37.3,38.05,32.39,233576,1333987364.0,16.69,9.96,3.38,7.69
2018-05-04,300347,37.14,35.54,39.48,34.4,187576,1102273072.0,13.62,-4.72,-1.76,6.18
2018-05-11,300347,35.34,32.18,36.26,31.52,424160,2347573168.0,13.34,-9.45,-3.36,13.97
2018-05-18,300347,32.18,32.48,33.94,30.48,321328,1689132953.0,10.75,0.93,0.3,9.66
2018-05-25,300347,32.34,33.68,34.36,31.24,357383,1926354304.0,9.61,3.69,1.2,10.74
2018-06-01,300347,33.68,32.84,36.04,31.36,474433,2635960000.0,13.9,-2.49,-0.84,14.26
2018-06-08,300347,33.28,35.81,38.34,31.84,274108,1572153154.0,19.79,9.04,2.97,8.24
2018-06-15,300347,36.11,36.6,39.21,33.78,354926,2090198715.0,15.16,2.21,0.79,10.67
2018-06-22,300347,35.65,39.81,42.6,34.96,263839,1647744080.0,20.87,8.77,3.21,7.93
2018-06-29,300347,40.14,38.52,42.94,36.09,397668,2523080576.0,17.21,-3.24,-1.29,11.95
2018-07-06,300347,39.28,35.33,40.04,33.48,337356,2001978832.0,17.03,-8.28,-3.19,10.24
2018-07-13,300347,35.81,41.88,43.08,34.61,301874,1928560256.0,23.97,18.54,6.55,9.16
2018-07-20,300347,41.28,38.81,43.92,38.3,317060,2083182804.0,13.42,-7.33,-3.07,9.62
2018-07-27,300347,36.02,37.91,39.86,34.94,327613,1979530790.0,12.68,-2.32,-0.9,9.94
2018-08-03,300347,37.9,33.94,37.9,33.87,251072,1468108095.0,10.63,-10.47,-3.97,7.62
2018-08-10,300347,33.08,37.1,37.91,32.45,223681,1267297475.0,16.09,9.31,3.16,6.79
2018-08-17,300347,36.38,31.48,38.28,31.48,206364,1173124608.0,18.33,-15.15,-5.62,6.26
2018-08-24,300347,31.28,32.67,33.61,28.06,428999,2114884275.0,17.63,3.78,1.19,13.02
2018-08-31,300347,32.95,33.22,36.11,32.66,197248,1100479969.0,10.56,1.68,0.55,5.98
2018-09-07,300347,33.37,33.14,33.92,31.48,204001,1085949800.0,7.34,-0.24,-0.08,6.19
2018-09-14,300347,32.61,28.94,33.34,26.94,274193,1337410068.0,19.31,-12.67,-4.2,8.32
2018-09-21,300347,29.27,31.2,31.44,28.08,221614,1085348833.0,11.61,7.81,2.26,6.72
2018-09-28,300347,30.73,33.09,33.44,30.23,130268,686383962.0,10.29,6.06,1.89,3.95
