date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,600795,2.39,2.43,2.45,2.38,1722644,542563016.0,2.93,1.67,0.04,0.88
2018-01-12,600795,2.42,2.43,2.49,2.39,2235211,708472264.0,4.12,0.0,0.0,1.14
2018-01-19,600795,2.41,2.48,2.5,2.38,2349374,745694200.0,4.94,2.06,0.05,1.2
2018-01-26,600795,2.47,2.5,2.55,2.45,2745557,886141043.0,4.03,0.81,0.02,1.4
2018-02-02,600795,2.5,2.37,2.55,2.3,3149311,992729999.0,10.0,-5.2,-0.13,1.6
2018-02-09,600795,2.34,2.24,2.43,2.21,2999760,917101958.0,9.28,-5.49,-0.13,1.53
2018-02-14,600795,2.24,2.26,2.28,2.23,785239,234741981.0,2.23,0.89,0.02,0.4
2018-02-23,600795,2.27,2.28,2.29,2.26,879643,264164343.0,1.33,0.88,0.02,0.45
2018-03-02,600795,2.28,2.36,2.39,2.25,2908867,882232379.0,6.14,3.51,0.08,1.48
2018-03-09,600795,2.35,2.43,2.5,2.32,3394931,1064471636.0,7.63,2.97,0.07,1.73
2018-03-16,600795,2.43,2.35,2.44,2.34,2073985,647697748.0,4.12,-3.29,-0.08,1.06
2018-03-23,600795,2.35,2.24,2.37,2.22,2154554,654402500.0,6.38,-4.68,-0.11,1.1
2018-03-30,600795,2.22,2.24,2.28,2.18,2021170,599301452.0,4.46,0.0,0.0,1.03
2018-04-04,600795,2.24,2.18,2.24,2.18,1121056,329279788.0,2.68,-2.68,-0.06,0.57
2018-04-13,600795,2.18,2.19,2.22,2.15,1661166,484889544.0,3.21,0.46,0.01,0.85
2018-04-20,600795,2.19,2.12,2.19,2.11,1673984,481470108.0,3.65,-3.2,-0.07,0.85
2018-04-27,600795,2.12,2.11,2.14,2.09,1869872,532198969.0,2.36,-0.47,-0.01,0.95
2018-05-04,600795,2.11,2.17,2.18,2.1,1362708,391034250.0,3.79,2.84,0.06,0.69
2018-05-11,600795,2.17,2.15,2.19,2.15,1461046,423117169.0,1.84,-0.92,-0.02,0.74
2018-05-18,600795,2.16,2.18,2.19,2.13,1770307,511762900.0,2.79,1.4,0.03,0.9
2018-05-25,600795,2.18,2.18,2.28,2.16,3311990,975824015.0,5.5,0.0,0.0,1.69
2018-06-01,600795,2.18,2.11,2.18,2.08,1557274,444354795.0,4.59,-3.21,-0.07,0.79
2018-06-08,600795,2.11,2.06,2.12,2.04,1309175,369564276.0,3.79,-2.37,-0.05,0.67
2018-06-15,600795,2.05,2.03,2.06,2.01,1330952,369054953.0,2.43,-1.46,-0.03,0.68
2018-06-22,600795,2.01,1.89,2.01,1.81,1804657,473839625.0,9.85,-6.9,-0.14,0.92
2018-06-29,600795,1.89,1.89,1.9,1.81,1357551,351401763.0,4.76,0.0,0.0,0.69
2018-07-06,600795,1.88,1.9,1.95,1.84,1574384,414126762.0,5.82,0.53,0.01,0.8
2018-07-13,600795,1.89,1.92,1.96,1.88,1286518,334104012.0,4.21,1.05,0.02,0.65
2018-07-20,600795,1.92,2.06,2.08,1.9,2724760,725131661.0,9.38,7.29,0.14,1.39
2018-07-27,600795,2.05,2.07,2.12,2.04,2083039,570366082.0,3.88,0.49,0.01,1.06
2018-08-03,600795,2.08,2.03,2.15,1.99,1941207,530475685.0,7.73,-1.93,-0.04,0.99
2018-08-10,600795,2.02,1.98,2.06,1.96,1989939,530068973.0,4.93,-2.46,-0.05,1.01
2018-08-17,600795,1.96,1.9,1.99,1.89,1616412,418928111.0,5.05,-4.04,-0.08,0.82
2018-08-24,600795,1.9,1.92,1.94,1.88,1391604,356722503.0,3.16,1.05,0.02,0.71
2018-08-31,600795,1.92,1.94,1.96,1.89,1858212,479557829.0,3.65,1.04,0.02,0.95
2018-09-07,600795,1.92,1.88,1.92,1.87,1274144,324404459.0,2.58,-3.09,-0.06,0.65
2018-09-14,600795,1.87,1.84,1.88,1.84,1179397,295073154.0,2.13,-2.13,-0.04,0.6
