date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2021-06-11,600905,2.9,3.92,3.92,2.9,1921158,742145568.0,43.04,65.4,1.55,2.76
2021-06-18,600905,4.34,5.72,5.72,3.95,87057026,41862686432.0,45.15,45.92,1.8,125.27
2021-06-25,600905,6.32,6.61,8.51,6.32,59093743,44360940621.0,38.29,15.56,0.89,85.03
2021-07-02,600905,6.47,5.67,6.58,5.62,71541765,45863628544.0,14.52,-14.22,-0.94,102.95
2021-07-09,600905,5.62,6.68,6.9,5.42,71041423,45523863808.0,26.1,17.81,1.01,102.23
2021-07-16,600905,6.58,6.33,6.87,6.14,54098681,36888327680.0,10.93,-5.24,-0.35,77.85
2021-07-23,600905,6.21,5.82,6.21,5.77,30210321,18894990880.0,6.95,-8.06,-0.51,43.47
2021-07-30,600905,5.8,5.84,6.07,5.52,32135606,19465604240.0,9.45,0.34,0.02,46.24
2021-08-06,600905,5.85,5.66,5.89,5.64,22228813,13383699856.0,4.28,-3.08,-0.18,31.99
2021-08-13,600905,5.68,5.44,5.75,5.43,21211856,12408608192.0,5.65,-3.89,-0.22,30.52
2021-08-20,600905,5.45,5.46,5.96,5.43,26104145,15427294032.0,9.74,0.37,0.02,37.56
2021-08-27,600905,5.44,5.25,5.54,5.19,18687625,10531342800.0,6.41,-3.85,-0.21,26.89
2021-09-03,600905,5.27,6.22,6.3,5.1,40984274,24575410016.0,22.86,18.48,0.97,58.97
2021-09-10,600905,6.39,5.84,6.6,5.77,49192378,31451516672.0,13.34,-6.11,-0.38,70.79
2021-09-17,600905,5.84,6.34,6.34,5.64,34506037,21522041328.0,11.99,8.56,0.5,49.65
2021-09-24,600905,6.49,6.83,7.37,6.43,43357142,30891781376.0,14.83,7.73,0.49,62.39
2021-09-30,600905,7.02,7.09,7.29,6.32,40285150,28844787200.0,14.2,3.81,0.26,57.97
2021-10-08,600905,7.15,6.86,7.22,6.73,6204876,4431343104.0,6.91,-3.24,-0.23,8.93
2021-10-15,600905,6.94,6.4,6.97,6.05,25246092,16786665296.0,13.41,-6.71,-0.46,36.33
2021-10-22,600905,6.46,6.35,6.92,6.34,26570701,18424652880.0,9.06,-0.78,-0.05,38.23
2021-10-29,600905,6.42,6.96,7.28,6.37,34229251,24221186944.0,14.33,9.61,0.61,49.25
2021-11-05,600905,6.8,6.79,7.68,6.74,44142863,33177117440.0,13.51,-2.44,-0.17,63.52
2021-11-12,600905,6.79,6.66,6.98,6.53,21905197,15356602016.0,6.63,-1.91,-0.13,31.52
2021-11-19,600905,6.63,6.62,6.73,6.38,16589781,11212409184.0,5.26,-0.6,-0.04,23.87
2021-11-26,600905,6.61,6.26,6.66,6.21,18875959,12543282512.0,6.8,-5.44,-0.36,27.16
2021-12-03,600905,6.11,6.62,6.65,6.06,17828862,11880397632.0,9.42,5.75,0.36,25.66
2021-12-10,600905,6.62,6.64,6.85,6.36,30462149,20798982656.0,7.4,0.3,0.02,35.54
2021-12-17,600905,6.68,7.17,7.46,6.67,38176078,28025194784.0,11.9,7.98,0.53,44.54
2021-12-24,600905,7.15,7.53,7.81,6.79,32528288,24089132800.0,14.23,5.02,0.36,37.95
2021-12-31,600905,7.66,7.27,7.7,6.98,25485374,19110257888.0,9.56,-3.45,-0.26,29.73
2022-01-07,600905,7.33,6.86,7.45,6.85,15087238,10970145904.0,8.25,-5.64,-0.41,17.6
2022-01-14,600905,6.87,6.69,6.89,6.56,16599337,11559044112.0,4.81,-2.48,-0.17,19.37
2022-01-21,600905,6.68,6.76,6.98,6.6,16344661,11522777312.0,5.68,1.05,0.07,19.07
2022-01-28,600905,6.64,6.62,6.73,6.3,14899460,10087066720.0,6.36,-2.07,-0.14,17.38
2022-02-11,600905,6.73,6.67,6.9,6.59,12693870,8891658192.0,4.68,0.76,0.05,14.81
