date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,600233,14.83,15.34,15.97,14.83,139418,241425899.0,7.69,3.44,0.51,1.78
2018-01-12,600233,15.38,14.96,15.72,14.89,108009,184955090.0,5.41,-2.48,-0.38,1.38
2018-01-19,600233,14.96,14.76,15.19,14.46,107974,180347716.0,4.88,-1.34,-0.2,1.38
2018-01-26,600233,14.78,14.76,15.17,14.54,111410,187097238.0,4.27,0.0,0.0,1.42
2018-02-02,600233,14.69,13.5,14.74,12.78,141283,224171224.0,13.28,-8.54,-1.26,1.8
2018-02-09,600233,13.38,12.21,13.78,12.17,120722,177968922.0,11.93,-9.56,-1.29,1.54
2018-02-14,600233,12.29,12.69,12.99,12.28,43428,63450770.0,5.81,3.93,0.48,0.55
2018-02-23,600233,12.75,12.88,13.03,12.75,25448,37668538.0,2.21,1.5,0.19,0.32
2018-03-02,600233,13.0,13.75,14.03,13.0,154165,239995698.0,8.0,6.75,0.87,1.97
2018-03-09,600233,13.93,16.43,16.85,13.76,406847,712779052.0,22.47,19.49,2.68,5.19
2018-03-16,600233,16.43,15.63,16.55,15.41,251528,449805313.0,6.94,-4.87,-0.8,3.21
2018-03-23,600233,15.62,13.93,16.45,13.68,258818,447608466.0,17.72,-10.88,-1.7,3.3
2018-03-30,600233,13.74,14.48,14.53,13.09,231902,370041956.0,10.34,3.95,0.55,2.96
2018-04-04,600233,14.48,13.92,14.53,13.81,89812,144176750.0,4.97,-3.87,-0.56,1.15
2018-04-13,600233,13.92,13.81,14.33,13.69,95020,151165801.0,4.6,-0.79,-0.11,1.21
2018-04-20,600233,13.85,13.17,14.23,13.12,110439,170187072.0,8.04,-4.63,-0.64,1.41
2018-04-27,600233,13.18,13.09,13.32,12.81,104914,156560580.0,3.87,-0.61,-0.08,1.34
2018-05-04,600233,13.05,13.23,13.44,13.05,62807,95508870.0,2.98,1.07,0.14,0.8
2018-05-11,600233,13.38,13.3,13.88,13.19,111520,171780624.0,5.22,0.53,0.07,1.42
2018-05-18,600233,13.42,13.3,13.59,13.03,118165,179466542.0,4.21,0.0,0.0,1.51
2018-05-25,600233,13.28,13.22,13.66,13.15,94382,144666776.0,3.83,-0.6,-0.08,1.2
2018-06-01,600233,13.21,14.21,14.93,12.98,293049,466296063.0,14.75,7.49,0.99,3.74
2018-06-08,600233,14.15,14.74,15.33,13.43,390616,633605787.0,13.37,3.73,0.53,4.99
2018-06-15,600233,14.69,13.3,14.74,13.19,181150,287991316.0,10.52,-9.77,-1.44,2.31
2018-06-22,600233,12.74,11.21,12.74,10.89,204857,277073222.0,13.91,-15.71,-2.09,2.62
2018-06-29,600233,11.29,11.39,11.54,10.89,107994,140605590.0,5.8,1.61,0.18,1.38
2018-07-06,600233,11.39,10.07,11.46,9.71,120186,149894125.0,15.36,-11.59,-1.32,1.53
2018-07-13,600233,10.1,10.58,10.61,9.78,113531,137394363.0,8.24,5.06,0.51,1.45
2018-07-20,600233,10.59,11.5,12.16,10.45,207190,271545859.0,16.16,8.7,0.92,2.64
2018-07-27,600233,11.47,11.37,11.99,11.19,134309,179745436.0,6.96,-1.13,-0.13,1.71
2018-08-03,600233,11.37,10.9,12.03,10.63,102742,134192003.0,12.31,-4.13,-0.47,1.31
2018-08-10,600233,10.89,11.19,11.27,10.33,86862,109945727.0,8.62,2.66,0.29,1.11
2018-08-17,600233,11.09,10.51,11.47,10.49,65688,83658488.0,8.76,-6.08,-0.68,0.84
2018-08-24,600233,10.38,10.81,10.96,10.04,109633,134776261.0,8.75,2.85,0.3,1.4
2018-08-31,600233,10.74,10.18,10.95,10.11,159635,197626600.0,7.77,-5.83,-0.63,2.04
2018-09-07,600233,10.17,9.78,10.22,9.71,160176,187902692.0,5.01,-3.93,-0.4,2.04
2018-09-14,600233,9.7,9.81,9.97,9.12,146056,165714860.0,8.69,0.31,0.03,1.86
2018-09-21,600233,9.7,10.1,10.19,9.51,237136,276816180.0,6.93,2.96,0.29,3.03
2018-09-28,600233,10.09,11.36,11.57,10.02,438041,555951509.0,15.35,12.48,1.26,5.59
2018-10-12,600233,11.19,10.92,11.41,9.99,336662,426507032.0,12.5,-3.87,-0.44,4.3
2018-10-19,600233,10.87,8.29,11.01,7.78,420738,461405789.0,29.58,-24.08,-2.63,5.37
2018-10-26,600233,8.39,9.23,9.46,8.2,480279,513291270.0,15.2,11.34,0.94,6.13
2018-11-02,600233,9.25,9.57,9.6,8.55,368159,400501247.0,11.38,3.68,0.34,4.7
2018-11-09,600233,9.58,9.01,9.68,8.98,323138,360610367.0,7.31,-5.85,-0.56,4.12
2018-11-16,600233,9.09,9.47,9.6,8.77,442069,485222164.0,9.21,5.11,0.46,5.64
2018-11-23,600233,9.48,8.69,9.55,8.65,258627,282733374.0,9.5,-8.24,-0.78,3.3
2018-11-30,600233,8.69,8.31,8.86,8.15,169143,173605325.0,8.17,-4.37,-0.38,2.16
2018-12-07,600233,8.54,8.48,8.87,8.41,168560,175151830.0,5.54,2.05,0.17,2.15
2018-12-14,600233,8.44,8.36,8.74,8.32,122007,126263096.0,4.95,-1.42,-0.12,1.56
2018-12-21,600233,8.36,8.38,8.58,8.27,107628,110046202.0,3.71,0.24,0.02,1.37
2018-12-28,600233,8.36,8.19,8.43,8.15,120498,121427379.0,3.34,-2.27,-0.19,1.54
2019-01-04,600233,8.26,8.19,8.32,7.85,79726,79010965.0,5.74,0.0,0.0,1.02
2019-01-11,600233,8.25,8.54,8.61,8.17,154637,157730419.0,5.37,4.27,0.35,1.97
2019-01-18,600233,8.62,9.1,9.25,8.51,229151,245709552.0,8.67,6.56,0.56,2.93
2019-01-25,600233,9.11,9.84,10.52,9.11,372442,433885088.0,15.49,8.13,0.74,4.75
2019-02-01,600233,9.98,10.2,10.75,9.8,332695,402667040.0,9.65,3.66,0.36,4.25
2019-02-15,600233,10.2,10.59,11.14,10.18,247140,308967203.0,9.41,3.82,0.39,3.15
2019-02-22,600233,10.65,11.15,11.73,10.63,277578,360253053.0,10.39,5.29,0.56,3.54
2019-03-01,600233,11.38,11.12,11.79,10.87,289315,380689113.0,8.25,-0.27,-0.03,3.69
2019-03-08,600233,11.18,10.57,12.04,10.4,395223,523763857.0,14.75,-4.95,-0.55,5.05
2019-03-15,600233,11.19,10.98,13.07,10.69,616593,833201922.0,22.52,3.88,0.41,7.87
2019-03-22,600233,11.0,11.24,11.86,10.93,385316,509703089.0,8.47,2.37,0.26,4.92
