date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,601689,9.43,9.54,9.85,9.41,117825,297056268.0,4.67,1.27,0.12,6.9
2018-01-12,601689,9.72,9.44,10.21,9.39,143033,361795632.0,8.6,-1.05,-0.1,8.38
2018-01-19,601689,9.47,8.47,9.47,8.4,169124,397820266.0,11.33,-10.28,-0.97,9.91
2018-01-26,601689,8.35,7.96,8.35,7.73,322170,696705765.0,7.32,-6.02,-0.51,18.87
2018-02-02,601689,7.97,6.72,8.01,6.48,204711,410973506.0,19.22,-15.58,-1.24,11.99
2018-02-09,601689,6.58,6.77,7.22,6.5,215928,419375177.0,10.71,0.74,0.05,12.65
2018-02-14,601689,6.79,7.28,7.47,6.79,89700,181088552.0,10.04,7.53,0.51,5.25
2018-02-23,601689,7.34,7.24,7.47,7.13,44284,89803725.0,4.67,-0.55,-0.04,2.59
2018-03-02,601689,7.72,7.77,8.26,7.48,231489,500559399.0,10.77,7.32,0.53,13.56
2018-03-09,601689,7.83,8.41,8.68,7.81,182502,409696225.0,11.2,8.24,0.64,10.69
2018-03-16,601689,8.4,7.88,8.59,7.85,186656,411287788.0,8.8,-6.3,-0.53,10.93
2018-03-23,601689,7.89,6.93,7.89,6.78,180063,372371446.0,14.09,-12.06,-0.95,10.55
2018-03-30,601689,6.87,7.52,7.69,6.65,195025,390160360.0,15.01,8.51,0.59,11.43
2018-04-04,601689,7.52,7.63,7.77,7.2,109080,227126788.0,7.58,1.46,0.11,6.39
2018-04-13,601689,7.53,7.49,7.78,7.07,211897,435133571.0,9.31,-1.83,-0.14,12.41
2018-04-20,601689,7.47,6.73,7.6,6.72,142928,286040818.0,11.75,-10.15,-0.76,8.37
2018-04-27,601689,6.76,6.55,6.8,6.26,166497,309236867.0,8.02,-2.67,-0.18,9.75
2018-05-04,601689,6.63,6.87,6.94,6.45,70190,134440330.0,7.48,4.89,0.32,4.11
2018-05-11,601689,6.89,7.4,7.49,6.81,134659,269149909.0,9.9,7.71,0.53,7.89
2018-05-18,601689,7.4,7.52,7.83,7.07,185890,382594618.0,10.27,1.62,0.12,10.89
2018-05-25,601689,7.54,7.48,7.87,7.22,156628,328868337.0,8.64,-0.53,-0.04,6.4
2018-06-01,601689,7.43,6.84,7.53,6.74,162434,322864186.0,10.56,-8.56,-0.64,6.64
2018-06-08,601689,6.9,6.73,7.09,6.6,138906,268879709.0,7.16,-1.61,-0.11,5.68
2018-06-15,601689,6.73,6.94,7.02,6.59,92445,178200232.0,6.39,3.12,0.21,3.78
2018-06-22,601689,6.83,6.36,6.84,6.05,93612,171815363.0,11.38,-8.36,-0.58,3.83
2018-06-29,601689,6.38,6.9,6.93,6.19,98203,186287878.0,11.64,8.49,0.54,4.01
2018-07-06,601689,6.91,6.51,6.93,6.24,94692,177593944.0,10.0,-5.65,-0.39,3.87
2018-07-13,601689,6.55,7.21,7.26,6.52,140754,277777574.0,11.37,10.75,0.7,5.75
2018-07-20,601689,7.21,7.0,7.3,6.88,96347,191589845.0,5.83,-2.91,-0.21,3.94
2018-07-27,601689,7.02,7.07,7.54,6.88,120189,241789943.0,9.43,1.0,0.07,4.91
2018-08-03,601689,7.08,6.26,7.08,6.2,100532,188351939.0,12.45,-11.46,-0.81,4.11
2018-08-10,601689,6.25,6.34,6.37,6.05,81654,147163593.0,5.11,1.28,0.08,3.34
2018-08-17,601689,6.26,5.85,6.29,5.82,52561,93276751.0,7.41,-7.73,-0.49,2.15
