date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,600515,8.0,8.09,8.19,7.9,161894,192570267.0,3.63,1.13,0.09,0.98
2018-01-12,600515,7.98,8.74,8.84,7.77,326412,406524264.0,13.23,8.03,0.65,1.97
2018-01-19,600515,8.68,8.39,9.16,8.36,415731,536311060.0,9.15,-4.0,-0.35,2.51
2018-01-22,600515,8.09,7.55,8.3,7.55,101895,116859630.0,8.94,-10.01,-0.84,0.61
2018-08-17,600515,6.79,4.46,6.79,4.46,626274,429209153.0,30.86,-40.93,-3.09,3.78
2018-08-24,600515,4.06,4.21,4.28,3.98,1311836,796467658.0,6.73,-5.61,-0.25,7.91
2018-08-31,600515,4.17,4.0,4.23,3.85,646777,392172010.0,9.03,-4.99,-0.21,3.9
2018-09-07,600515,3.98,4.06,4.12,3.92,442694,263554133.0,5.0,1.5,0.06,2.67
2018-09-14,600515,4.0,3.96,4.15,3.93,412624,245586883.0,5.42,-2.46,-0.1,2.49
2018-09-21,600515,3.93,4.0,4.04,3.75,483851,280309641.0,7.32,1.01,0.04,2.92
2018-09-28,600515,3.97,4.13,4.28,3.93,451905,269870405.0,8.75,3.25,0.13,2.73
2018-10-12,600515,4.04,3.55,4.12,3.29,611088,342754524.0,20.1,-14.04,-0.58,3.69
2018-10-19,600515,3.5,3.35,3.9,3.15,877712,463838287.0,21.13,-5.63,-0.2,5.29
2018-10-26,600515,3.41,3.49,3.64,3.3,561568,291407689.0,10.15,4.18,0.14,3.39
2018-11-02,600515,3.5,3.54,3.55,3.37,404464,208801296.0,5.16,1.43,0.05,2.44
2018-11-09,600515,3.54,3.57,3.71,3.52,666321,355965205.0,5.37,0.85,0.03,4.02
2018-11-16,600515,3.58,3.96,4.06,3.58,1130016,650547387.0,13.45,10.92,0.39,6.81
2018-11-23,600515,3.96,3.79,4.07,3.73,1032686,596817454.0,8.59,-4.29,-0.17,6.23
2018-11-30,600515,3.77,3.6,3.85,3.51,624213,339635312.0,8.97,-5.01,-0.19,3.76
2018-12-07,600515,3.69,3.63,3.81,3.56,647523,350486124.0,6.94,0.83,0.03,3.9
2018-12-14,600515,3.62,3.5,3.62,3.48,307735,161823019.0,3.86,-3.58,-0.13,1.86
2018-12-21,600515,3.5,3.38,3.51,3.35,232202,118027175.0,4.57,-3.43,-0.12,1.4
2018-12-28,600515,3.4,3.18,3.4,3.12,271326,130621476.0,8.28,-5.92,-0.2,1.64
2019-01-04,600515,3.22,3.29,3.29,3.14,150217,71684651.0,4.72,3.46,0.11,0.91
2019-01-11,600515,3.32,3.35,3.41,3.29,229291,113218762.0,3.65,1.82,0.06,1.38
2019-01-18,600515,3.36,3.36,3.48,3.3,346008,173823667.0,5.37,0.3,0.01,2.09
2019-01-25,600515,3.36,3.24,3.53,3.23,503767,251058772.0,8.93,-3.57,-0.12,3.04
2019-02-01,600515,3.27,3.03,3.27,2.92,313306,143209737.0,10.8,-6.48,-0.21,1.89
2019-02-15,600515,3.03,3.22,3.28,3.01,307889,145726175.0,8.91,6.27,0.19,1.86
2019-02-22,600515,3.24,3.45,3.5,3.24,612959,309277097.0,8.07,7.14,0.23,3.7
2019-03-01,600515,3.48,3.81,3.97,3.47,1240164,697774119.0,14.49,10.43,0.36,7.48
2019-03-08,600515,3.81,3.81,4.33,3.8,2791640,1669863333.0,13.91,0.0,0.0,16.83
2019-03-15,600515,3.85,4.21,4.31,3.78,2398326,1434465126.0,13.91,10.5,0.4,14.46
2019-03-22,600515,4.27,4.46,4.54,4.17,2868373,1858857243.0,8.79,5.94,0.25,17.3
2019-03-29,600515,4.36,3.99,4.41,3.83,1476876,902686417.0,13.0,-10.54,-0.47,8.91
2019-04-04,600515,4.01,4.31,4.46,3.99,1347230,842068478.0,11.78,8.02,0.32,8.12
2019-04-12,600515,4.33,4.5,4.85,4.17,3410783,2306173167.0,15.78,4.41,0.19,20.57
2019-04-19,600515,4.55,4.54,4.65,4.29,1730611,1152179107.0,8.0,0.89,0.04,10.44
