date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,600406,7.9,7.8,8.21,7.73,1190109,2189962112.0,6.09,-1.02,-0.08,5.4
2018-01-12,600406,7.8,7.44,7.81,7.44,1184900,2116843152.0,4.74,-4.62,-0.36,5.37
2018-01-19,600406,7.39,7.5,7.69,6.75,1614825,2743658128.0,12.63,0.81,0.06,7.32
2018-01-26,600406,7.46,7.53,7.96,7.42,856922,1529522355.0,7.2,0.4,0.03,3.88
2018-02-02,600406,7.43,7.12,7.8,6.84,1308436,2235862147.0,12.75,-5.44,-0.41,5.93
2018-02-09,600406,6.88,6.24,7.05,5.81,1020674,1633105173.0,17.42,-12.36,-0.88,4.63
2018-02-14,600406,6.24,6.45,6.55,6.05,385425,601999516.0,8.01,3.37,0.21,1.75
2018-02-23,600406,6.56,6.69,6.75,6.47,170652,275856573.0,4.34,3.72,0.24,0.77
2018-03-02,600406,6.72,6.77,7.01,6.62,716101,1173148238.0,5.83,1.2,0.08,3.25
2018-03-09,600406,6.85,7.06,7.1,6.7,484107,803728735.0,5.91,4.28,0.29,2.19
2018-03-16,600406,7.08,6.97,7.36,6.86,566080,962717073.0,7.08,-1.27,-0.09,2.57
2018-03-23,600406,7.01,7.1,7.59,6.63,1076206,1806073510.0,13.77,1.87,0.13,4.88
2018-03-30,600406,6.92,7.03,7.23,6.81,728772,1221696521.0,5.92,-0.99,-0.07,3.3
2018-04-04,600406,7.04,7.02,7.15,6.92,475936,801610644.0,3.27,-0.14,-0.01,2.16
2018-04-13,600406,6.97,7.3,7.45,6.68,867163,1464677309.0,10.97,3.99,0.28,3.93
2018-04-20,600406,7.25,7.1,7.31,6.79,660373,1113653477.0,7.12,-2.74,-0.2,2.99
2018-04-27,600406,7.08,7.32,7.36,7.0,587950,1006446144.0,5.07,3.1,0.22,2.67
2018-05-04,600406,7.3,7.74,7.94,7.24,648062,1154735712.0,9.56,5.74,0.42,2.94
2018-05-11,600406,7.75,7.94,8.27,7.72,779227,1442201287.0,7.11,2.58,0.2,3.53
2018-05-18,600406,7.93,7.76,8.06,7.66,590214,1075829763.0,5.04,-2.27,-0.18,2.68
2018-05-25,600406,7.81,7.38,7.98,7.23,531775,944197567.0,9.66,-4.9,-0.38,2.41
2018-06-01,600406,7.36,6.89,7.4,6.82,438205,744762295.0,7.86,-6.64,-0.49,1.99
2018-06-08,600406,6.88,7.27,7.37,6.67,462634,782339062.0,10.16,5.52,0.38,2.1
2018-06-15,600406,7.22,7.17,7.29,6.79,381711,647529247.0,6.88,-1.38,-0.1,1.73
2018-06-22,600406,7.07,6.74,7.29,6.6,676499,1142703482.0,9.62,-6.0,-0.43,3.07
2018-06-29,600406,6.82,6.66,6.88,6.26,295436,467857215.0,9.2,-1.19,-0.08,1.34
2018-07-06,600406,6.65,6.07,6.73,5.79,492874,741102642.0,14.11,-8.86,-0.59,2.23
2018-07-13,600406,6.02,6.59,6.64,6.02,324604,495332432.0,10.21,8.57,0.52,1.47
2018-07-20,600406,6.64,6.45,6.64,6.16,243544,375734150.0,7.28,-2.12,-0.14,1.1
2018-07-27,600406,6.43,6.66,6.95,6.41,307654,489671153.0,8.37,3.26,0.21,1.39
2018-08-03,600406,6.67,6.19,6.92,6.17,434113,670024954.0,11.26,-7.06,-0.47,1.97
2018-08-10,600406,6.24,6.57,6.66,6.13,326181,500768242.0,8.56,6.14,0.38,1.48
2018-08-17,600406,6.46,6.28,6.56,6.26,306453,471681032.0,4.57,-4.41,-0.29,1.39
2018-08-24,600406,6.36,6.09,6.43,6.03,284199,428082613.0,6.37,-3.03,-0.19,1.29
2018-08-31,600406,6.12,6.81,7.0,6.08,668908,1060762757.0,15.11,11.82,0.72,3.03
2018-09-07,600406,6.82,6.72,6.92,6.53,396450,631709500.0,5.73,-1.32,-0.09,1.8
2018-09-14,600406,7.35,7.13,7.63,6.73,979496,1626736060.0,13.39,6.1,0.41,4.44
2018-09-21,600406,7.12,7.5,7.66,7.03,645986,1104943511.0,8.84,5.19,0.37,2.93
2018-09-28,600406,7.37,7.73,7.84,7.37,396431,693196606.0,6.27,3.07,0.23,1.8
2018-10-12,600406,7.69,7.15,7.69,6.78,605348,1014940337.0,11.77,-7.5,-0.58,2.74
2018-10-19,600406,7.15,7.35,7.44,6.81,662042,1104032449.0,8.81,2.8,0.2,3.0
2018-10-26,600406,7.41,7.63,7.88,7.41,818213,1433514568.0,6.39,3.81,0.28,3.71
2018-11-02,600406,7.59,8.0,8.02,7.41,888126,1565397157.0,7.99,4.85,0.37,4.03
2018-11-09,600406,7.96,7.65,7.96,7.51,455472,804862572.0,5.63,-4.38,-0.35,2.06
2018-11-16,600406,7.65,7.87,8.04,7.59,618516,1106995886.0,5.88,2.88,0.22,2.8
2018-11-23,600406,7.85,7.41,7.98,7.4,430103,760965722.0,7.37,-5.84,-0.46,1.95
2018-11-30,600406,7.41,7.69,7.69,7.35,382662,663502720.0,4.59,3.78,0.28,1.73
2018-12-07,600406,7.72,8.09,8.2,7.72,628797,1139433381.0,6.24,5.2,0.4,2.85
2018-12-14,600406,8.08,8.39,8.59,8.05,797343,1497333135.0,6.67,3.71,0.3,3.61
2018-12-21,600406,8.34,8.07,8.49,7.9,585943,1083833285.0,7.03,-3.81,-0.32,2.66
2018-12-28,600406,7.94,8.24,8.55,7.87,533089,974528178.0,8.43,2.11,0.17,2.09
2019-01-04,600406,8.24,8.29,8.33,7.78,379626,691512026.0,6.67,0.61,0.05,1.49
2019-01-11,600406,8.33,8.61,8.9,8.33,835273,1605025598.0,6.88,3.86,0.32,3.27
2019-01-18,600406,8.65,8.73,8.79,8.4,555199,1062808301.0,4.53,1.39,0.12,2.17
2019-01-25,600406,8.8,8.8,8.95,8.54,536280,1044794131.0,4.7,0.8,0.07,2.1
2019-02-01,600406,8.81,8.9,9.08,8.51,464810,907545581.0,6.48,1.14,0.1,1.82
2019-02-15,600406,8.97,8.95,9.2,8.77,969854,1915308624.0,4.83,0.56,0.05,3.8
2019-02-22,600406,9.02,8.83,9.27,8.51,1168159,2291227152.0,8.49,-1.34,-0.12,4.58
2019-03-01,600406,8.97,8.25,9.15,8.04,1900242,3636391808.0,12.57,-6.57,-0.58,7.44
2019-03-08,600406,8.45,8.47,8.88,8.16,1767080,3370065616.0,8.73,2.67,0.22,6.92
2019-03-15,600406,9.57,9.95,12.08,9.57,4058683,9143411504.0,29.63,17.47,1.48,15.9
2019-03-22,600406,9.95,10.09,10.69,9.47,2109371,4639789616.0,12.26,1.41,0.14,8.26
2019-03-29,600406,9.88,9.73,10.01,9.32,1172987,2461022160.0,6.84,-3.57,-0.36,4.59
2019-04-04,600406,9.87,9.9,10.34,9.43,1509291,3235023168.0,9.35,1.75,0.17,5.91
2019-04-12,600406,9.94,10.04,10.24,9.38,1563257,3332780544.0,8.69,1.41,0.14,5.33
2019-04-19,600406,10.27,10.01,10.36,9.45,1193288,2560959008.0,9.06,-0.3,-0.03,4.07
2019-04-26,600406,10.1,9.01,10.1,8.96,1202013,2531745072.0,11.39,-9.99,-1.0,4.1
2019-04-30,600406,9.03,9.05,9.23,8.77,438113,869657904.0,5.11,0.44,0.04,1.49
2019-05-10,600406,8.8,8.47,8.93,8.06,823066,1544845006.0,9.61,-6.41,-0.58,2.8
2019-05-17,600406,8.38,8.59,9.02,8.03,730087,1381454044.0,11.69,1.42,0.12,2.49
2019-05-24,600406,8.67,8.54,8.74,8.22,561200,1061170947.0,6.05,-0.58,-0.05,1.91
2019-05-31,600406,8.46,8.1,8.9,8.06,772140,1459056517.0,9.84,-5.15,-0.44,2.63
2019-06-06,600406,8.11,7.49,8.15,7.28,705472,1226790012.0,10.74,-7.53,-0.61,2.4
2019-06-14,600406,7.55,7.8,7.98,7.45,615776,1090444310.0,7.08,4.14,0.31,2.1
2019-06-21,600406,7.84,8.38,8.55,7.62,636858,1165185485.0,11.92,7.44,0.58,2.17
2019-06-28,600406,8.39,8.3,8.5,8.21,404811,758501860.0,3.46,-0.95,-0.08,1.38
