date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,300122,15.97,17.21,17.34,15.96,262677,774500918.0,8.68,8.31,1.32,3.02
2018-01-12,300122,17.03,19.78,20.49,16.86,591508,1932790320.0,21.09,14.93,2.57,6.81
2018-01-19,300122,19.58,19.71,20.48,18.95,425510,1438739992.0,7.74,-0.35,-0.07,4.9
2018-01-26,300122,19.9,19.48,20.25,18.29,537408,1778949793.0,9.94,-1.17,-0.23,6.18
2018-02-02,300122,17.71,16.19,18.18,15.52,614195,1798423886.0,13.66,-16.89,-3.29,7.07
2018-02-09,300122,15.81,14.12,16.15,13.1,619971,1574774426.0,18.84,-12.79,-2.07,7.13
2018-02-14,300122,14.25,14.83,15.15,13.91,203480,531876362.0,8.78,5.03,0.71,2.34
2018-02-23,300122,15.15,15.7,15.78,14.91,87361,240627733.0,5.87,5.87,0.87,1.01
2018-03-02,300122,15.85,16.93,17.38,15.52,344104,1007345974.0,11.85,7.83,1.23,3.96
2018-03-09,300122,16.96,18.44,18.72,16.96,373031,1159273041.0,10.4,8.92,1.51,4.29
2018-03-16,300122,18.55,17.97,19.41,17.4,424264,1353763593.0,10.9,-2.55,-0.47,4.88
2018-03-23,300122,18.14,18.08,20.17,17.87,604199,1987098176.0,12.8,0.61,0.11,6.95
2018-03-30,300122,17.79,19.83,20.45,17.79,563065,1873948640.0,14.71,9.68,1.75,6.48
2018-04-04,300122,19.83,18.51,20.23,18.41,279888,931816746.0,9.18,-6.66,-1.32,3.22
2018-04-13,300122,18.07,21.12,21.97,18.07,683296,2384841216.0,21.07,14.1,2.61,7.86
2018-04-20,300122,21.45,21.26,22.38,20.28,614490,2235079072.0,9.94,0.66,0.14,7.07
2018-04-27,300122,21.52,24.26,25.0,21.45,796602,3104170320.0,16.7,14.11,3.0,9.17
2018-05-04,300122,26.51,27.01,27.16,25.23,634449,2778118400.0,7.96,11.34,2.75,7.3
2018-05-11,300122,27.05,26.55,28.21,25.05,982725,4333619328.0,11.7,-1.7,-0.46,11.31
2018-05-18,300122,27.38,28.38,29.55,26.05,859214,3988454272.0,13.18,6.89,1.83,9.89
2018-05-25,300122,28.5,30.51,30.81,27.65,709772,3444538832.0,11.13,7.51,2.13,8.17
2018-06-01,300122,30.89,25.15,31.05,25.15,1033927,4794588000.0,19.34,-17.57,-5.36,11.9
2018-06-08,300122,25.25,28.7,29.53,24.45,834340,3773614576.0,20.2,14.12,3.55,9.6
2018-06-15,300122,28.33,26.84,28.58,26.29,650519,2938163040.0,7.98,-6.48,-1.86,7.48
2018-06-22,300122,26.07,27.59,28.73,24.95,574830,2583371440.0,14.08,2.79,0.75,6.61
2018-06-29,300122,27.79,27.76,28.02,25.53,598526,2643992656.0,9.03,0.62,0.17,6.89
2018-07-06,300122,28.8,27.93,29.29,26.93,789779,3683340768.0,8.5,0.61,0.17,9.09
2018-07-13,300122,28.31,32.49,33.19,28.27,814906,4091640240.0,17.62,16.33,4.56,9.38
2018-07-20,300122,31.33,29.93,33.21,29.0,762163,3856391648.0,12.96,-7.88,-2.56,8.77
2018-07-27,300122,26.67,24.81,27.93,23.73,1754633,7299055744.0,14.03,-17.11,-5.12,20.19
2018-08-03,300122,24.7,22.27,24.71,21.35,1178521,4511044944.0,13.54,-10.24,-2.54,13.56
2018-08-10,300122,21.79,24.37,24.79,21.13,869432,3332826768.0,16.43,9.43,2.1,10.0
2018-08-17,300122,24.01,22.67,25.43,22.0,741421,2965204784.0,14.07,-6.98,-1.7,8.53
2018-08-24,300122,22.6,25.69,26.36,21.91,880960,3601438064.0,19.63,13.32,3.02,10.14
2018-08-31,300122,25.73,25.07,26.93,24.71,628026,2699721120.0,8.64,-2.41,-0.62,7.23
2018-09-07,300122,25.29,25.87,26.71,25.09,601979,2594156704.0,6.46,3.19,0.8,6.93
2018-09-14,300122,26.2,24.95,27.65,23.61,842245,3656881888.0,15.62,-3.56,-0.92,9.69
2018-09-21,300122,24.73,27.19,27.45,24.31,502596,2171101599.0,12.59,8.98,2.24,5.78
2018-09-28,300122,27.13,29.91,30.31,26.93,511839,2420455520.0,12.43,10.0,2.72,5.89
2018-10-12,300122,26.74,24.14,27.56,23.2,814949,3447349424.0,14.58,-19.29,-5.77,9.38
2018-10-19,300122,24.41,22.8,25.6,19.87,849015,3296558448.0,23.74,-5.55,-1.34,9.77
2018-10-26,300122,23.54,20.64,24.72,19.77,1023872,3819841392.0,21.71,-9.47,-2.16,11.78
2018-11-02,300122,20.83,22.91,22.91,19.47,757544,2734002512.0,16.67,11.0,2.27,8.72
2018-11-09,300122,22.59,25.67,27.49,22.27,1102306,4691234752.0,22.78,12.05,2.76,12.68
2018-11-16,300122,25.91,26.13,26.58,25.15,726130,3124279024.0,5.57,1.79,0.46,8.35
2018-11-23,300122,25.89,26.07,28.13,25.33,717035,3173949712.0,10.72,-0.23,-0.06,8.25
2018-11-30,300122,26.07,25.7,26.73,25.37,427651,1840860496.0,5.22,-1.42,-0.37,4.92
2018-12-07,300122,26.53,25.24,27.43,23.93,648381,2813872496.0,13.62,-1.79,-0.46,7.46
2018-12-14,300122,24.83,23.33,24.97,23.08,485734,1963338160.0,7.49,-7.57,-1.91,5.59
2018-12-21,300122,23.19,22.11,23.79,21.65,369772,1411938287.0,9.17,-5.23,-1.22,4.25
