date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,000063,34.08,33.64,35.1,32.38,3999702,14506631264.0,8.01,-0.94,-0.32,11.65
2018-01-12,000063,33.6,33.42,34.45,32.52,4601260,16490653504.0,5.74,-0.65,-0.22,13.4
2018-01-19,000063,33.31,34.09,36.5,32.63,7441470,27659490432.0,11.58,2.0,0.67,21.67
2018-01-26,000063,34.1,32.6,34.72,32.6,5204436,18769670848.0,6.22,-4.37,-1.49,15.16
2018-02-02,000063,32.4,26.42,32.4,25.61,7415342,22663552928.0,20.83,-18.96,-6.18,21.59
2018-02-09,000063,25.82,26.05,27.54,25.61,4017673,11681015408.0,7.31,-1.4,-0.37,11.7
2018-02-14,000063,26.59,28.1,28.19,26.21,2075231,6180379408.0,7.6,7.87,2.05,6.04
2018-02-23,000063,28.31,28.92,29.75,27.85,1380545,4321537616.0,6.76,2.92,0.82,4.02
2018-03-02,000063,29.4,29.12,30.7,28.96,3967153,12824999232.0,6.02,0.69,0.2,11.55
2018-03-09,000063,29.4,31.22,31.28,29.28,3513685,11570011088.0,6.87,7.21,2.1,10.23
2018-03-16,000063,31.48,29.61,31.83,29.6,2861072,9475063648.0,7.14,-5.16,-1.61,8.33
2018-03-23,000063,29.48,26.61,30.25,26.01,2777978,8592622192.0,14.32,-10.13,-3.0,8.09
2018-03-30,000063,26.0,27.75,28.25,25.9,2684690,7992243792.0,8.83,4.28,1.14,7.82
2018-04-04,000063,27.98,27.59,28.9,27.36,1555406,4736104928.0,5.55,-0.58,-0.16,4.53
2018-04-13,000063,27.2,28.8,29.54,26.7,2270672,7015779728.0,10.29,4.39,1.21,6.61
2018-04-16,000063,28.8,28.91,29.05,28.01,376665,1167187360.0,3.61,0.38,0.11,1.1
2018-06-15,000063,25.78,20.42,25.78,20.42,27211,70912750.0,18.54,-29.37,-8.49,0.08
2018-06-22,000063,18.14,12.58,18.14,12.58,145732,236014281.0,27.23,-38.39,-7.84,0.42
2018-06-29,000063,11.08,10.63,11.77,10.01,14828230,19567810128.0,13.99,-15.5,-1.95,43.18
2018-07-06,000063,10.63,10.64,12.19,9.6,14691963,19359511088.0,24.37,0.09,0.01,42.78
2018-07-13,000063,10.75,11.7,12.08,9.45,10159166,13526535616.0,24.72,9.96,1.06,29.58
2018-07-20,000063,12.28,14.12,15.16,12.08,13426823,22122924288.0,26.32,20.68,2.42,39.1
2018-07-27,000063,14.0,13.03,14.58,12.43,8376612,13525307312.0,15.23,-7.72,-1.09,24.39
2018-08-03,000063,12.95,10.95,13.15,10.94,5887947,8498545616.0,16.96,-15.96,-2.08,17.15
2018-08-10,000063,10.7,12.1,12.28,10.45,7760972,10709198400.0,16.71,10.5,1.15,22.6
2018-08-17,000063,11.89,13.5,14.18,11.72,11836416,18696519760.0,20.33,11.57,1.4,34.47
2018-08-24,000063,13.44,14.74,15.23,12.89,10363775,17188500368.0,17.33,9.19,1.24,30.18
2018-08-31,000063,14.85,16.69,17.24,14.7,11464771,21637333696.0,17.23,13.23,1.95,33.38
2018-09-07,000063,16.6,15.69,17.08,15.0,10167946,18767772000.0,12.46,-5.99,-1.0,29.61
2018-09-14,000063,15.6,15.96,16.26,14.5,7900871,14040174752.0,11.22,1.72,0.27,23.01
2018-09-21,000063,15.6,16.19,16.48,15.01,7573206,13845415968.0,9.21,1.44,0.23,22.05
2018-09-28,000063,16.1,15.9,16.69,15.62,4744569,8841150576.0,6.61,-1.79,-0.29,13.82
2018-10-12,000063,14.3,13.2,14.98,12.1,5749608,9308593376.0,18.11,-16.98,-2.7,16.74
2018-10-19,000063,13.17,14.17,14.6,12.85,5191908,8315279856.0,13.26,7.35,0.97,15.12
2018-10-26,000063,14.5,14.85,15.76,14.11,6048732,10499247456.0,11.64,4.8,0.68,17.61
2018-11-02,000063,14.85,15.94,16.4,13.37,7219611,12630113360.0,20.4,7.34,1.09,21.02
2018-11-09,000063,15.66,17.47,18.28,15.5,8755206,16900098800.0,17.44,9.6,1.53,25.49
2018-11-16,000063,17.29,19.39,19.48,17.29,8149556,16588844480.0,12.54,10.99,1.92,23.73
2018-11-23,000063,19.11,17.37,19.45,17.26,6208240,12891902928.0,11.29,-10.42,-2.02,18.08
2018-11-30,000063,17.25,17.47,18.86,16.55,7007666,14169326992.0,13.3,0.58,0.1,20.41
2018-12-07,000063,18.88,17.59,19.25,17.1,7627311,15791819568.0,12.31,0.69,0.12,22.21
2018-12-14,000063,17.2,17.25,18.14,17.15,4306060,8647090704.0,5.63,-1.93,-0.34,12.54
2018-12-21,000063,17.25,16.84,17.31,16.43,3493041,6688861184.0,5.1,-2.38,-0.41,10.17
2018-12-28,000063,16.96,17.19,18.25,16.61,5199744,10390163232.0,9.74,2.08,0.35,15.14
2019-01-04,000063,17.2,16.8,17.66,15.84,2370174,4551309248.0,10.59,-2.27,-0.39,6.9
2019-01-11,000063,17.05,18.11,18.87,16.8,5430575,10957682016.0,12.32,7.8,1.31,15.82
2019-01-18,000063,17.8,17.58,18.4,17.27,3704964,7475005328.0,6.24,-2.93,-0.53,10.79
2019-01-25,000063,17.66,17.92,18.76,17.61,4705886,9694367760.0,6.54,1.93,0.34,13.71
2019-02-01,000063,17.95,18.01,18.15,17.28,2912067,5865413536.0,4.85,0.5,0.09,8.48
2019-02-15,000063,17.8,20.6,21.3,17.76,6847438,15240895984.0,19.66,14.38,2.59,19.94
2019-02-22,000063,21.05,25.44,25.44,20.85,7749052,19377853424.0,22.28,23.5,4.84,22.57
2019-03-01,000063,28.2,27.33,30.38,26.2,11060449,32942961840.0,16.43,7.43,1.89,32.21
2019-03-08,000063,27.71,26.81,30.47,26.48,9634654,29608900864.0,14.6,-1.9,-0.52,28.06
2019-03-15,000063,27.4,25.98,28.7,25.09,7394140,21771384400.0,13.47,-3.1,-0.83,21.53
2019-03-22,000063,25.98,25.82,27.22,25.3,4107274,11815219792.0,7.39,-0.62,-0.16,11.96
