date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2018-01-05,601998,3.52,3.76,3.78,3.5,1478510,940268842.0,7.95,6.82,0.24,0.46
2018-01-12,601998,3.76,4.17,4.27,3.74,4062618,2704198176.0,14.1,10.9,0.41,1.27
2018-01-19,601998,4.17,4.52,4.81,4.15,5621326,4002425936.0,15.83,8.39,0.35,1.76
2018-01-26,601998,4.48,4.69,4.85,4.38,4706510,3415654096.0,10.4,3.76,0.17,1.48
2018-02-02,601998,4.67,4.74,4.77,4.4,2934690,2139485136.0,7.89,1.07,0.05,0.92
2018-02-09,601998,4.67,4.22,5.6,3.85,6353174,4807965152.0,36.92,-10.97,-0.52,1.99
2018-02-14,601998,4.15,4.06,4.27,3.97,2316892,1570859184.0,7.11,-3.79,-0.16,0.73
2018-02-23,601998,4.22,4.46,4.58,4.17,1295608,911554816.0,10.1,9.85,0.4,0.41
2018-03-02,601998,4.55,4.04,4.58,3.97,2317570,1605092755.0,13.68,-9.42,-0.42,0.73
2018-03-09,601998,4.01,4.04,4.21,3.91,2345996,1577716300.0,7.43,0.0,0.0,0.74
2018-03-16,601998,4.04,3.92,4.14,3.91,1704392,1140126736.0,5.69,-2.97,-0.12,0.53
2018-03-23,601998,3.92,4.04,4.16,3.83,2104186,1406613486.0,8.42,3.06,0.12,0.66
2018-03-30,601998,3.97,3.77,3.99,3.62,2392342,1537683676.0,9.16,-6.68,-0.27,0.75
2018-04-04,601998,3.78,3.64,3.83,3.6,836873,532982661.0,6.1,-3.45,-0.13,0.26
2018-04-13,601998,3.62,3.8,4.01,3.54,2184124,1410088995.0,12.91,4.4,0.16,0.68
2018-04-20,601998,3.78,3.7,3.82,3.54,1528925,971153767.0,7.37,-2.63,-0.1,0.48
2018-04-27,601998,3.7,3.71,3.86,3.6,1427198,914006074.0,7.03,0.27,0.01,0.45
2018-05-04,601998,3.72,3.85,3.93,3.72,917722,596992839.0,5.66,3.77,0.14,0.29
2018-05-11,601998,3.84,3.96,4.02,3.8,921519,609176225.0,5.71,2.86,0.11,0.29
2018-05-18,601998,3.97,4.06,4.12,3.88,1204169,804092687.0,6.06,2.53,0.1,0.38
2018-05-25,601998,4.08,3.95,4.11,3.84,780908,518828188.0,6.65,-2.71,-0.11,0.24
