book,sleeve,symbol,direction,lots,margin,risk_weight,sector,capital,margin_usage
commodity,trend,LC0,-1,1,21224.000000000004,0.1,lithium,4000000.0,0.005306000000000001
commodity,range,SA0,-1,10,26087.999999999996,0.15,building_chem,4000000.0,0.006521999999999999
