symbol,name,datetime,cross_idx,confirm_idx,entry_idx,entry_time,entry_price,direction,bonus,twist_cross,body_ratio,close_at_cross,last_close,last_time,bars_since,stars,hist_trades,hist_pf,hist_winrate,hist_exp_r
JM0,焦煤,2026-06-17 13:45:00,1004,1008,1009,2026-06-17 22:00:00,1315.5,-1,True,3,0.0136830102622576,1343.5,1268.5,2026-06-22 10:45:00,18,3,13,2.2559159440302774,0.5384615384615384,0.4599045776958484
AO0,氧化铝,2026-06-22 09:30:00,1020,1020,1021,2026-06-22 10:00:00,2939.0,1,False,4,0.0129471890971039,2935.0,2918.0,2026-06-22 10:45:00,2,2,12,7.808481203709456,0.6666666666666666,1.5736128242835372
IH0,上证50指数期货,2026-06-18 10:00:00,1013,1013,1014,2026-06-18 10:30:00,2912.6,1,False,2,0.0087189345050115,2913.2,2903.8,2026-06-22 10:30:00,9,1,13,1.2582042718170203,0.3846153846153846,0.1015316870962872
